experiment	validation	fold	class_label	transformed_feature	coefficient	absolute_coefficient
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__activation_consensus_score	-0.07595094074672123	0.07595094074672123
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm6_r350_634_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm6_aligned_displacement	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm7_displacement	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm3_tm7_distance	0.370587097572883	0.370587097572883
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm6_r350_630_distance	-0.1263291907555086	0.1263291907555086
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__dry_r350_630_min_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__dry_r350_630_ca_distance	-0.1263291907555086	0.1263291907555086
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__dry_d349_r350_min_distance	-0.13937264086985646	0.13937264086985646
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__r350_chi1	0.14703383899032527	0.14703383899032527
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__r350_chi2	-0.05788284821874865	0.05788284821874865
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_550_340_distance	-0.23908245914502652	0.23908245914502652
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_340_644_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_550_644_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_550_340_min_distance	-0.05390591586323451	0.05390591586323451
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_340_644_min_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_550_644_min_distance	-0.14990602564928543	0.14990602564928543
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_triangle_perimeter	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__position_644_chi1	-0.5850246898665573	0.5850246898665573
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__position_644_chi2	-0.7445895847425579	0.7445895847425579
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__w648_chi1	-0.4837908467904545	0.4837908467904545
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__w648_chi2	0.1621953827934007	0.1621953827934007
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__w648_displacement	0.1430203433823345	0.1430203433823345
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__w648_to_644_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__cwxp_647_650_distance	0.026833167109494984	0.026833167109494984
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__y753_chi1	-0.007234250731802927	0.007234250731802927
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__y753_chi2	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__y753_y558_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__y753_y558_min_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__n749_y753_distance	0.20676540190675913	0.20676540190675913
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__npxxy_local_spread	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__y753_displacement	-0.07569640129569298	0.07569640129569298
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__sodium_d250_s339_distance	-0.1644459040307875	0.1644459040307875
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__sodium_d250_n745_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__sodium_d250_s746_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__sodium_d250_n749_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__sodium_pocket_volume	-0.01003307145534348	0.01003307145534348
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__sodium_pocket_spread	-0.0033240223276811637	0.0033240223276811637
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm7_rotation	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__icl2_generic_ca_count	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__icl2_end_to_end_distance	0.2071867715019721	0.2071867715019721
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__icl2_centroid_to_r350	0.0	0.0
