experiment	validation	fold	class_label	transformed_feature	coefficient	absolute_coefficient
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm6_r350_634_distance	-0.5366947647693279	0.5366947647693279
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm3_tm7_distance	0.27392764759643445	0.27392764759643445
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_550_644_distance	-0.2890489142420744	0.2890489142420744
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__y753_displacement	-0.09910907896834145	0.09910907896834145
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm6_aligned_displacement	-0.3814536060775385	0.3814536060775385
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__dry_r350_630_min_distance	-0.10081041128335634	0.10081041128335634
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__icl2_helix_fraction	-0.07188379843653671	0.07188379843653671
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__icl2_centroid_to_tm6_634	-0.6041310116578494	0.6041310116578494
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm7_h8_angle	-0.13190624563297193	0.13190624563297193
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__intracellular_cavity_core_mouth_area	-0.30115250336671606	0.30115250336671606
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__tm6_r350_634_distance	0.20106546339326067	0.20106546339326067
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__tm3_tm7_distance	-0.3109314893876996	0.3109314893876996
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__pif_550_644_distance	0.45374977513501225	0.45374977513501225
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__y753_displacement	0.29392195003077803	0.29392195003077803
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__tm6_aligned_displacement	-0.11514370017739371	0.11514370017739371
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__dry_r350_630_min_distance	-0.4964743350114572	0.4964743350114572
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__icl2_helix_fraction	0.10833898700107555	0.10833898700107555
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__icl2_centroid_to_tm6_634	0.2810271546289412	0.2810271546289412
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__tm7_h8_angle	-0.4703394310538764	0.4703394310538764
