experiment	validation	fold	class_label	transformed_feature	coefficient	absolute_coefficient
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm6_r350_634_distance	-0.903039826139657	0.903039826139657
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm3_tm7_distance	0.42188435120844703	0.42188435120844703
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_550_644_distance	-0.30252846836316594	0.30252846836316594
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__y753_displacement	0.03231272748178817	0.03231272748178817
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__tm6_r350_634_distance	-0.06833294237556474	0.06833294237556474
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__tm3_tm7_distance	-0.3080035106598562	0.3080035106598562
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__pif_550_644_distance	0.22609315803580987	0.22609315803580987
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__y753_displacement	0.2303631766239261	0.2303631766239261
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gs	numeric__bound__tm6_r350_634_distance	0.9713727685152218	0.9713727685152218
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gs	numeric__bound__tm3_tm7_distance	-0.1138808405485907	0.1138808405485907
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gs	numeric__bound__pif_550_644_distance	0.07643531032735604	0.07643531032735604
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gs	numeric__bound__y753_displacement	-0.2626759041057146	0.2626759041057146
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gi/o	numeric__bound__tm6_r350_634_distance	-1.0297537661367733	1.0297537661367733
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gi/o	numeric__bound__tm3_tm7_distance	0.24479208978602604	0.24479208978602604
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gi/o	numeric__bound__pif_550_644_distance	-0.11572342158149715	0.11572342158149715
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gi/o	numeric__bound__y753_displacement	-0.0393664960891352	0.0393664960891352
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__tm6_r350_634_distance	-0.10265747298624525	0.10265747298624525
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__tm3_tm7_distance	-0.22590835082451158	0.22590835082451158
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__pif_550_644_distance	0.2752285631951079	0.2752285631951079
