experiment	validation	fold	class_label	transformed_feature	coefficient	absolute_coefficient
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm6_r350_634_distance	-0.7953295714484296	0.7953295714484296
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm3_tm7_distance	0.03730390607610078	0.03730390607610078
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_550_644_distance	-0.10342841930811074	0.10342841930811074
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__y753_displacement	0.0506215429002951	0.0506215429002951
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm6_aligned_displacement	-0.5207709531063802	0.5207709531063802
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__dry_r350_630_min_distance	-0.26445814141942076	0.26445814141942076
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__icl2_helix_fraction	-0.07442148383751591	0.07442148383751591
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__icl2_centroid_to_tm6_634	-0.4220625802038564	0.4220625802038564
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm7_h8_angle	-0.3321481162205489	0.3321481162205489
core10_interpretable__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__intracellular_cavity_core_mouth_area	-0.47804236505051795	0.47804236505051795
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__tm6_r350_634_distance	0.38287930223930633	0.38287930223930633
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__tm3_tm7_distance	-0.0839633322169657	0.0839633322169657
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__pif_550_644_distance	0.0665689332991506	0.0665689332991506
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__y753_displacement	-0.03599284295550729	0.03599284295550729
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__tm6_aligned_displacement	-0.1588028753202308	0.1588028753202308
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__dry_r350_630_min_distance	-0.5489705759554224	0.5489705759554224
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__icl2_helix_fraction	-0.16856956720487085	0.16856956720487085
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__icl2_centroid_to_tm6_634	-0.08947726922387896	0.08947726922387896
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__tm7_h8_angle	0.1840117536937777	0.1840117536937777
core10_interpretable__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__intracellular_cavity_core_mouth_area	0.29998728228389704	0.29998728228389704
core10_interpretable__bound	receptor_grouped_5fold	0	Gs	numeric__bound__tm6_r350_634_distance	0.41245026920912364	0.41245026920912364
core10_interpretable__bound	receptor_grouped_5fold	0	Gs	numeric__bound__tm3_tm7_distance	0.0466594261408648	0.0466594261408648
core10_interpretable__bound	receptor_grouped_5fold	0	Gs	numeric__bound__pif_550_644_distance	0.03685948600895978	0.03685948600895978
core10_interpretable__bound	receptor_grouped_5fold	0	Gs	numeric__bound__y753_displacement	-0.014628699944787544	0.014628699944787544
core10_interpretable__bound	receptor_grouped_5fold	0	Gs	numeric__bound__tm6_aligned_displacement	0.6795738284266112	0.6795738284266112
core10_interpretable__bound	receptor_grouped_5fold	0	Gs	numeric__bound__dry_r350_630_min_distance	0.8134287173748433	0.8134287173748433
core10_interpretable__bound	receptor_grouped_5fold	0	Gs	numeric__bound__icl2_helix_fraction	0.2429910510423869	0.2429910510423869
core10_interpretable__bound	receptor_grouped_5fold	0	Gs	numeric__bound__icl2_centroid_to_tm6_634	0.5115398494277353	0.5115398494277353
core10_interpretable__bound	receptor_grouped_5fold	0	Gs	numeric__bound__tm7_h8_angle	0.14813636252677073	0.14813636252677073
core10_interpretable__bound	receptor_grouped_5fold	0	Gs	numeric__bound__intracellular_cavity_core_mouth_area	0.17805508276662088	0.17805508276662088
core10_interpretable__bound	receptor_grouped_5fold	1	Gi/o	numeric__bound__tm6_r350_634_distance	-0.7703093271420545	0.7703093271420545
core10_interpretable__bound	receptor_grouped_5fold	1	Gi/o	numeric__bound__tm3_tm7_distance	0.041170047549011976	0.041170047549011976
