experiment	validation	fold	class_label	transformed_feature	coefficient	absolute_coefficient
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm6_r350_634_distance	-1.1179486052349774	1.1179486052349774
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm3_tm7_distance	0.5149489974650533	0.5149489974650533
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_550_644_distance	-0.2929613081430365	0.2929613081430365
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gi/o	numeric__bound__y753_displacement	0.09938756362399788	0.09938756362399788
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__tm6_r350_634_distance	0.05587388399446693	0.05587388399446693
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__tm3_tm7_distance	-0.3973981787308877	0.3973981787308877
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__pif_550_644_distance	0.25820680344372576	0.25820680344372576
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gq/11	numeric__bound__y753_displacement	-0.06300074979260684	0.06300074979260684
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gs	numeric__bound__tm6_r350_634_distance	1.0620747212405106	1.0620747212405106
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gs	numeric__bound__tm3_tm7_distance	-0.11755081873416566	0.11755081873416566
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gs	numeric__bound__pif_550_644_distance	0.034754504699310795	0.034754504699310795
four_feature_activation_code__bound	receptor_grouped_5fold	0	Gs	numeric__bound__y753_displacement	-0.03638681383139129	0.03638681383139129
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gi/o	numeric__bound__tm6_r350_634_distance	-1.0701710140823413	1.0701710140823413
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gi/o	numeric__bound__tm3_tm7_distance	0.5044633797091613	0.5044633797091613
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gi/o	numeric__bound__pif_550_644_distance	-0.31142427869977934	0.31142427869977934
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gi/o	numeric__bound__y753_displacement	0.10851531204112057	0.10851531204112057
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__tm6_r350_634_distance	-0.024323234231455156	0.024323234231455156
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__tm3_tm7_distance	-0.3933635845494937	0.3933635845494937
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__pif_550_644_distance	0.1270840255311187	0.1270840255311187
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__y753_displacement	-0.015969699728077175	0.015969699728077175
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gs	numeric__bound__tm6_r350_634_distance	1.0944942483137965	1.0944942483137965
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gs	numeric__bound__tm3_tm7_distance	-0.11109979515966685	0.11109979515966685
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gs	numeric__bound__pif_550_644_distance	0.18434025316866018	0.18434025316866018
four_feature_activation_code__bound	receptor_grouped_5fold	1	Gs	numeric__bound__y753_displacement	-0.09254561231304399	0.09254561231304399
four_feature_activation_code__bound	receptor_grouped_5fold	2	Gi/o	numeric__bound__tm6_r350_634_distance	-1.2288098098035707	1.2288098098035707
four_feature_activation_code__bound	receptor_grouped_5fold	2	Gi/o	numeric__bound__tm3_tm7_distance	0.32359554454315975	0.32359554454315975
four_feature_activation_code__bound	receptor_grouped_5fold	2	Gi/o	numeric__bound__pif_550_644_distance	-0.14088760659008684	0.14088760659008684
four_feature_activation_code__bound	receptor_grouped_5fold	2	Gi/o	numeric__bound__y753_displacement	0.024033896093342794	0.024033896093342794
