population	feature	n_receptors	median_delta	q1	q3	mean_delta	positive	negative	ties	sign_test_p	captured_class	n_units	sign_test_q
P0_strict	tm6_r350_634_distance	12.0	0.2407249999999998	-0.1719999999999999	0.40653750000000016	0.9254083333333338	8	4	0.0	0.3876953125			0.9465060763888888
P0_strict	tm6_r350_634_distance		0.24889999999999984	0.07039999999999973	0.3684500000000001	0.9192833333333335	5	0			Gi/o	6.0	
P0_strict	tm6_r350_634_distance		0.06634999999999991	-0.1993250000000004	0.43072500000000025	0.16504999999999992	2	2			Gq/11	4.0	
P0_strict	tm6_r350_634_distance		-0.1800999999999977	-0.2391000000000005	0.2968499999999991	1.0914900000000007	2	3			Gs	5.0	
P0_strict	tm6_aligned_displacement	12.0	0.3170500000000005	0.03483750000000002	0.6787750000000004	0.8960083333333334	9	3	0.0	0.14599609375			0.9465060763888888
P0_strict	tm6_aligned_displacement		0.32760000000000034	-0.042674999999999776	0.7259249999999997	0.6215666666666666	3	2			Gi/o	6.0	
P0_strict	tm6_aligned_displacement		0.12654999999999997	-0.1007000000000002	0.40255000000000063	0.17530000000000046	2	2			Gq/11	4.0	
P0_strict	tm6_aligned_displacement		0.1187500000000003	0.0617999999999998	0.3507999999999995	1.2799599999999998	5	0			Gs	5.0	
P0_strict	tm5_r350_561_distance	12.0	-0.0931500000000005	-0.47259999999999924	0.055962499999999624	-0.2305250000000001	5	7	0.0	0.7744140625			0.9465060763888888
P0_strict	tm5_r350_561_distance		0.0046499999999998	-0.047250000000000444	0.1200749999999999	-0.11108333333333352	3	2			Gi/o	6.0	
P0_strict	tm5_r350_561_distance		0.1191000000000004	-0.004049999999999429	0.275125	0.1519750000000002	3	1			Gq/11	4.0	
P0_strict	tm5_r350_561_distance		-0.7354000000000003	-0.8191999999999986	-0.1233000000000004	-0.5305899999999999	1	4			Gs	5.0	
P0_strict	tm7_displacement	12.0	-0.0009999999999998586	-0.1636749999999999	0.1539499999999998	-0.02908333333333334	6	6	0.0	1.0			1.0
P0_strict	tm7_displacement		-0.03099999999999965	-0.09784999999999974	0.08069999999999977	-0.03376666666666659	2	3			Gi/o	6.0	
P0_strict	tm7_displacement		0.12634999999999974	-0.21364999999999995	0.36344999999999955	0.02344999999999986	2	2			Gq/11	4.0	
P0_strict	tm7_displacement		-0.0188499999999995	-0.2869999999999999	0.2930000000000001	-0.09431000000000003	2	3			Gs	5.0	
P0_strict	dry_r350_630_min_distance	9.0	0.3566500000000001	0.0687999999999995	0.6978000000000009	1.6235833333333338	7	2	0.0	0.1796875			0.9465060763888888
P0_strict	dry_r350_630_min_distance		0.2253000000000007	0.0687999999999995	0.6978000000000009	1.3461200000000004	4	0			Gi/o	5.0	
P0_strict	dry_r350_630_min_distance		-0.23919999999999855	-0.6077499999999985	0.12935000000000135	-0.23919999999999855	1	1			Gq/11	2.0	
P0_strict	dry_r350_630_min_distance		0.3566500000000001	-0.1055499999999992	4.219824999999999	2.6239666666666666	2	1			Gs	3.0	
P0_strict	pif_550_644_distance	12.0	0.0690499999999998	-0.11758750000000051	0.22119999999999984	0.056120833333333266	7	5	0.0	0.7744140625			0.9465060763888888
P0_strict	pif_550_644_distance		0.0148999999999999	-0.0517500000000006	0.19562500000000033	0.07733333333333338	3	2			Gi/o	6.0	
P0_strict	pif_550_644_distance		0.018999999999999698	-0.24620000000000017	0.2126249999999996	-0.052575000000000274	2	2			Gq/11	4.0	
P0_strict	pif_550_644_distance		0.1120499999999999	-0.1164000000000005	0.2396999999999991	0.05885999999999977	3	2			Gs	5.0	
P0_strict	y753_displacement	12.0	0.18177500000000002	-0.049187499999999475	0.3993749999999998	0.1674125000000001	7	5	0.0	0.7744140625			0.9465060763888888
P0_strict	y753_displacement		0.29495000000000005	0.06162500000000003	0.4332499999999997	0.29750000000000004	4	1			Gi/o	6.0	
P0_strict	y753_displacement		0.2613000000000003	-0.02322500000000005	0.5597000000000005	0.27517500000000017	2	1			Gq/11	4.0	
P0_strict	y753_displacement		-0.2016	-0.2873000000000001	-0.0478499999999995	-0.1119299999999999	1	4			Gs	5.0	
P0_strict	icl2_helix_fraction	11.0	0.0	-0.03125	0.0	0.021109090909090907	2	3	6.0	1.0			1.0
P0_strict	icl2_helix_fraction		0.0	0.0	0.0	0.046439999999999995	1	1			Gi/o	5.0	
P0_strict	icl2_helix_fraction		0.0	-0.0625	0.0	-0.041666666666666664	0	1			Gq/11	3.0	
P0_strict	icl2_helix_fraction		0.0	0.0	0.0	0.0	1	1			Gs	5.0	
P0_strict	icl2_centroid_to_tm6_634	10.0	0.1486999999999998	-0.31842499999999946	0.6662500000000011	1.060635	6	4	0.0	0.75390625			0.9465060763888888
P0_strict	icl2_centroid_to_tm6_634		0.1486999999999998	0.1082250000000009	1.4563249999999988	1.4158499999999998	3	0			Gi/o	4.0	
P0_strict	icl2_centroid_to_tm6_634		-0.2080999999999981	-0.6384999999999987	0.6087000000000025	0.049500000000001876	1	2			Gq/11	3.0	
P0_strict	icl2_centroid_to_tm6_634		-0.3551999999999999	-0.4243000000000023	0.5267499999999998	0.9521199999999993	2	3			Gs	5.0	
P0_strict	intracellular_cavity_core_volume	9.0	65.49810000000002	-7.689499999999953	191.55094999999983	252.24308333333323	6	3	0.0	0.5078125			0.9465060763888888
P0_strict	intracellular_cavity_core_volume		-7.689499999999953	-38.99669999999992	0.0	153.15837000000005	1	3			Gi/o	5.0	
P0_strict	intracellular_cavity_core_volume		254.98934999999983	190.93307499999992	319.04562499999975	254.98934999999983	2	0			Gq/11	2.0	
P0_strict	intracellular_cavity_core_volume		65.49810000000002	34.259499999999775	591.473625	395.3227166666665	3	0			Gs	3.0	
