population	feature	n_receptors	median_delta	q1	q3	mean_delta	positive	negative	ties	sign_test_p	captured_class	n_units	sign_test_q
P1_terminal_strict	tm6_r350_634_distance	15.0	0.2968499999999991	-0.1561499999999998	0.5851750000000004	0.8832166666666671	10	5	0.0	0.3017578125			0.6638671875
P1_terminal_strict	tm6_r350_634_distance		0.24889999999999984	0.03614999999999963	0.6707250000000005	0.8676500000000003	6	1			Gi/o	8.0	
P1_terminal_strict	tm6_r350_634_distance		0.2322000000000006	-0.0995000000000008	0.6572000000000013	0.2634800000000002	3	2			Gq/11	5.0	
P1_terminal_strict	tm6_r350_634_distance		-0.1800999999999977	-0.2391000000000005	0.2968499999999991	1.1036200000000005	2	3			Gs	5.0	
P1_terminal_strict	tm6_aligned_displacement	15.0	0.3507999999999995	0.09027500000000005	0.908175	0.8955733333333333	12	3	0.0	0.03515625			0.212158203125
P1_terminal_strict	tm6_aligned_displacement		0.6188500000000006	-0.014224999999999925	0.8979124999999992	0.68759375	5	2			Gi/o	8.0	
P1_terminal_strict	tm6_aligned_displacement		0.3420000000000005	-0.0889000000000006	0.5842000000000009	0.33818000000000054	3	2			Gq/11	5.0	
P1_terminal_strict	tm6_aligned_displacement		0.1187500000000003	0.0617999999999998	0.3507999999999995	1.2640500000000001	5	0			Gs	5.0	
P1_terminal_strict	tm5_r350_561_distance	15.0	0.0092999999999996	-0.27439999999999953	0.1268500000000001	-0.13753666666666675	8	7	0.0	1.0			1.0
P1_terminal_strict	tm5_r350_561_distance		0.0449999999999999	-0.01575000000000015	0.16443749999999996	0.0033562499999998108	5	2			Gi/o	8.0	
P1_terminal_strict	tm5_r350_561_distance		0.0492000000000008	0.0151000000000003	0.189	0.12460000000000022	4	1			Gq/11	5.0	
P1_terminal_strict	tm5_r350_561_distance		-0.7354000000000003	-0.8191999999999986	-0.1233000000000004	-0.53163	1	4			Gs	5.0	
P1_terminal_strict	tm7_displacement	15.0	-0.0188499999999995	-0.34295	0.1881499999999998	-0.10020000000000001	7	8	0.0	1.0			1.0
P1_terminal_strict	tm7_displacement		-0.03099999999999965	-0.16642500000000007	0.13624999999999976	-0.08396249999999995	3	4			Gi/o	8.0	
P1_terminal_strict	tm7_displacement		-0.068	-0.6505999999999998	0.3206999999999995	-0.12060000000000004	2	3			Gq/11	5.0	
P1_terminal_strict	tm7_displacement		-0.0188499999999995	-0.2869999999999999	0.3048999999999999	-0.09193000000000007	2	3			Gs	5.0	
P1_terminal_strict	dry_r350_630_min_distance	12.0	0.4272750000000007	0.14154999999999912	0.8253875000000006	1.3704500000000002	10	2	0.0	0.03857421875			0.212158203125
P1_terminal_strict	dry_r350_630_min_distance		0.2253000000000007	0.11729999999999925	0.8896250000000006	1.1396928571428573	6	0			Gi/o	7.0	
P1_terminal_strict	dry_r350_630_min_distance		0.4979000000000013	-0.23919999999999858	0.5265500000000012	0.025600000000001306	2	1			Gq/11	3.0	
P1_terminal_strict	dry_r350_630_min_distance		0.3566500000000001	-0.1055499999999992	4.235174999999999	2.6342	2	1			Gs	3.0	
P1_terminal_strict	pif_550_644_distance	15.0	0.1082999999999998	-0.1187750000000005	0.2610750000000004	0.06945666666666665	9	6	0.0	0.60723876953125			0.8349533081054688
P1_terminal_strict	pif_550_644_distance		0.14175	-0.0172500000000002	0.31958750000000036	0.15103125000000006	5	2			Gi/o	8.0	
