receptor_name	Gs	Gi/o	Gq/11	annotation_source	annotation_notes	notes	G12/13	primary_family	evidence_note	n_known_families	n_documented_positive_families	n_known_analyzed_classes	n_documented_positive_analyzed_classes
5ht1b_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Gi/o-selective serotonin receptor; Gs and Gq/11 treated as negative in broad family profiling. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
5ht2b_human	0.0	0.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Gq/11-supported; Gi/o has isolated/insufficient support and is treated as negative under the two-dataset consensus rule. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
5ht2c_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Quantitative consensus supports Gi/o and Gq/11. Direct labels are used; blank means unknown, not non-coupling.					3	2.0	3	2.0
5ht5a_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Established Gi/o-coupled serotonin receptor. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
aa2ar_human	1.0	0.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Canonical and quantitative Gs-family coupling. Direct labels are used; blank means unknown, not non-coupling.	Canonical and quantitative Gs-family coupling. Direct labels are used; blank means unknown, not non-coupling.				3	1.0	3	1.0
ackr3_human	0.0	0.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Atypical chemokine receptor; no conventional G-protein coupling. Direct labels are used; blank means unknown, not non-coupling.					3	0.0	3	0.0
acm2_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Gi/o-dominant muscarinic receptor with reproducible Gq/11 activity in broad profiling. Direct labels are used; blank means unknown, not non-coupling.					3	2.0	3	2.0
acm3_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Quantitative merged consensus supports Gi/o and Gq/11; Gs support is below consensus threshold. Direct labels are used; blank means unknown, not non-coupling.	Quantitative merged consensus supports Gi/o and Gq/11; Gs support is below consensus threshold. Direct labels are used; blank means unknown, not non-coupling.				3	2.0	3	2.0
acm4_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Quantitative merged consensus supports Gi/o and Gq/11; Gs support is below consensus threshold. Direct labels are used; blank means unknown, not non-coupling.					3	2.0	3	2.0
ada2a_human	1.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Current merged quantitative consensus supports Gs and Gi/o; Gq/11 support is below threshold. Direct labels are used; blank means unknown, not non-coupling.					3	2.0	3	2.0
ada2b_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Current merged consensus supports Gi/o; Gs and Gq/11 are below threshold. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
adrb1_human	1.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Current broad quantitative profiling supports all three families. Direct labels are used; blank means unknown, not non-coupling.					3	3.0	3	3.0
adrb1_melga										0		0	
adrb2_human	1.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Current broad quantitative profiling supports all three families. Direct labels are used; blank means unknown, not non-coupling.	Current broad quantitative profiling supports all three families. Direct labels are used; blank means unknown, not non-coupling.				3	3.0	3	3.0
agtr1_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	AT1 receptor has established Gi/o and Gq/11 coupling; Gs not supported as a consensus family. Direct labels are used; blank means unknown, not non-coupling.					3	2.0	3	2.0
agtr2_human				GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	AT2 receptor signaling is atypical/context-dependent; left unknown for all three families. Direct labels are used; blank means unknown, not non-coupling.					0		0	
c3ar_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Established Gi/o and Gq/11 coupling. Direct labels are used; blank means unknown, not non-coupling.					3	2.0	3	2.0
c5ar1_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Established Gi/o-dominant coupling; direct Gq/11 consensus not assigned. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
c5ar1_mouse										0		0	
ccr6_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Chemokine receptor with established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
cltr1_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	CysLT1 receptor supports Gi/o and Gq/11 signaling. Direct labels are used; blank means unknown, not non-coupling.					3	2.0	3	2.0
cltr2_human	0.0		1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	CysLT2 receptor has established Gq/11 coupling; Gi/o retained as unknown. Direct labels are used; blank means unknown, not non-coupling.					2	1.0	2	1.0
cnr1_human		1.0		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	CB1 has established Gi/o coupling; alternative Gs/Gq coupling is ligand- and context-dependent and left unknown. Direct labels are used; blank means unknown, not non-coupling.					1	1.0	1	1.0
cxcr3_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Chemokine receptor with established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
cxcr4_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Chemokine receptor with established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
drd1_human	1.0	0.0		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Established Gs-family coupling; Gq/11 evidence is context-dependent and left unknown. Direct labels are used; blank means unknown, not non-coupling.					2	1.0	2	1.0
drd2_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Current merged quantitative consensus supports Gi/o and Gq/11; Gs support is below threshold. Direct labels are used; blank means unknown, not non-coupling.					3	2.0	3	2.0
drd3_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Established Gi/o-selective dopamine receptor. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
ednrb_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Current merged consensus supports Gi/o and Gq/11; Gs support is below threshold. Direct labels are used; blank means unknown, not non-coupling.	Current merged consensus supports Gi/o and Gq/11; Gs support is below threshold. Direct labels are used; blank means unknown, not non-coupling.				3	2.0	3	2.0
ffar1_human			1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Established Gq/11 coupling; Gs and Gi/o retained as unknown because quantitative profiles are ligand/context dependent. Direct labels are used; blank means unknown, not non-coupling.					1	1.0	1	1.0
fpr2_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Current merged consensus supports Gi/o; Gq/11 support is below threshold. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
galr1_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
ghsr_human		1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Ghrelin receptor has established Gi/o and Gq/11 coupling; Gs retained as unknown. Direct labels are used; blank means unknown, not non-coupling.					2	2.0	2	2.0
gp101_human	1.0	0.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	GPR101 is constitutively Gs-coupled. Direct labels are used; blank means unknown, not non-coupling.	GPR101 is constitutively Gs-coupled. Direct labels are used; blank means unknown, not non-coupling.				3	1.0	3	1.0
gp183_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	GPR183/EBI2 has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
gpr20_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	GPR20 is constitutively Gi/o-coupled. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
gpr34_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	GPR34 has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.	GPR34 has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.				3	1.0	3	1.0
gpr55_human	0.0	0.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	GPR55 is assigned Gq/11 among the three modeled families; its major G12/13 coupling is outside this validation. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
gpr61_human	1.0	0.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	GPR61 is constitutively Gs-coupled. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
gpr6_human	1.0	0.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	GPR6 is constitutively Gs-coupled. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
hcar2_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	HCA2 has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.	HCA2 has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.				3	1.0	3	1.0
hcar3_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	HCA3 has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
hrh3_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Histamine H3 receptor has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
lpar1_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	LPA1 has established Gi/o and Gq/11 coupling; G12/13 is outside this validation. Direct labels are used; blank means unknown, not non-coupling.	LPA1 has established Gi/o and Gq/11 coupling; G12/13 is outside this validation. Direct labels are used; blank means unknown, not non-coupling.				3	2.0	3	2.0
mrgx2_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	MRGPRX2 supports Gi/o and Gq/11 signaling. Direct labels are used; blank means unknown, not non-coupling.	MRGPRX2 supports Gi/o and Gq/11 signaling. Direct labels are used; blank means unknown, not non-coupling.				3	2.0	3	2.0
mrgx4_human	0.0	0.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	MRGPRX4 has established Gq/11 coupling. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
npy2r_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Y2 receptor has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
ntr1_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	NTS1 supports Gi/o and Gq/11 coupling. Direct labels are used; blank means unknown, not non-coupling.	NTS1 supports Gi/o and Gq/11 coupling. Direct labels are used; blank means unknown, not non-coupling.				3	2.0	3	2.0
ntr1_rat										0		0	
oprd_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Delta opioid receptor has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.	Delta opioid receptor has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.				3	1.0	3	1.0
oprk_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Kappa opioid receptor has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
oprm_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Mu opioid receptor has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
oprm_mouse										0		0	
opsd_bovin										0		0	
oxyr_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Oxytocin receptor supports Gi/o and Gq/11 coupling. Direct labels are used; blank means unknown, not non-coupling.					3	2.0	3	2.0
p2ry1_human	0.0	0.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	P2Y1 receptor has established Gq/11 coupling. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
p2y12_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	P2Y12 receptor has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
par1_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	PAR1 supports Gi/o and Gq/11; G12/13 is outside this validation. Direct labels are used; blank means unknown, not non-coupling.					3	2.0	3	2.0
par2_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	PAR2 supports Gi/o and Gq/11; G12/13 is outside this validation. Direct labels are used; blank means unknown, not non-coupling.					3	2.0	3	2.0
pe2r3_human		1.0		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	EP3 is Gi/o-coupled, but splice-isoform-dependent Gs/Gq coupling is retained as unknown. Direct labels are used; blank means unknown, not non-coupling.					1	1.0	1	1.0
ptafr_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	PAF receptor supports Gi/o and Gq/11 coupling. Direct labels are used; blank means unknown, not non-coupling.					3	2.0	3	2.0
q08bg4_danre										0		0	
q80km9_hcmv										0		0	
s1pr3_human	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	S1P3 supports Gi/o and Gq/11; G12/13 is outside this validation. Direct labels are used; blank means unknown, not non-coupling.					3	2.0	3	2.0
ssr2_human	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	SST2 receptor has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.					3	1.0	3	1.0
sucr1_rat										0		0	
taar1_mouse										0		0	
taar9_mouse										0		0	
us28_hcmva										0		0	
