receptor_name	deformation_magnitude_z	n_partner_free_structures	partner_free_internal_variability_median	partner_free_internal_variability_max	deformation_to_free_variability_ratio
aa2ar_human	17.929239090145703	4.0	2.657089555186415	3.617640262117714	6.747698456436795
acm3_human	7.587490389147159				
adrb2_human	4.603897283507183	20.0	3.5148308849574876	9.579985842279182	1.3098488758621647
gp101_human	8.617498419871072				
gpr34_human	5.639580386401434	3.0	5.5371626017796665	11.115044194048433	1.0184964379750832
hcar2_human	10.066057757401628	3.0	3.7827803186691673	4.037213919134446	2.661020971194807
lpar1_human	6.089899941102197				
mrgx2_human	5.8508913215418685				
oprd_human	16.023997426587464				
opsd_bovin	7.705142808370724	13.0	1.5026906720019977	7.237683183162491	5.12756414339443
taar1_mouse	7.544283690876235				
taar9_mouse	6.714281508722874	2.0	3.199212814225401	3.199212814225401	2.098729249541515
