iteration	experiment	macro_roc_auc	log_loss
0	bound_geometry	0.3483052749719416	1.6947822940954493
0	receptor_only_geometry	0.5713973063973063	1.2339822632033461
1	bound_geometry	0.49046015712682384	1.51171926856325
1	receptor_only_geometry	0.5662008978675646	1.3995130360700285
2	bound_geometry	0.48493827160493824	1.9437662765965544
2	receptor_only_geometry	0.5034960718294051	1.8878017308268655
3	bound_geometry	0.3775757575757576	1.9442813667537273
3	receptor_only_geometry	0.39598765432098765	1.6808543328109533
4	bound_geometry	0.26301907968574634	2.1494195946780197
4	receptor_only_geometry	0.35221661054994396	1.9441571732360097
5	bound_geometry	0.49200897867564536	1.6204119031675677
5	receptor_only_geometry	0.33923120089786757	2.5610726172239633
6	bound_geometry	0.7192592592592592	1.1002369724796575
6	receptor_only_geometry	0.5757407407407408	1.2999866059127585
7	bound_geometry	0.46549943883277206	2.78966961820406
7	receptor_only_geometry	0.5800392817059484	1.4359480899859478
8	bound_geometry	0.5332210998877666	1.8950655953593152
8	receptor_only_geometry	0.22605499438832768	2.832441126816691
9	bound_geometry	0.20595959595959593	2.2713980584973372
9	receptor_only_geometry	0.6469977553310887	1.5899327164635833
10	bound_geometry	0.4598765432098766	1.7258013048523155
10	receptor_only_geometry	0.5652805836139169	1.2984896437253801
11	bound_geometry	0.5072053872053872	1.6520082253203576
11	receptor_only_geometry	0.6338103254769921	1.3167118061127594
12	bound_geometry	0.5508641975308642	1.2093834915439925
12	receptor_only_geometry	0.5309820426487093	1.3634225642565752
13	bound_geometry	0.5136700336700336	1.667090416215875
13	receptor_only_geometry	0.3978843995510662	1.992175215477061
14	bound_geometry	0.5807519640852975	1.3192483584316554
14	receptor_only_geometry	0.4965937149270483	2.757563345231147
15	bound_geometry	0.2565656565656566	2.3199925035332947
15	receptor_only_geometry	0.5536307519640853	1.6588191077858712
16	bound_geometry	0.6334792368125702	1.2465834443589503
16	receptor_only_geometry	0.4615095398428732	2.836333166829396
17	bound_geometry	0.5051964085297419	2.182793052136923
17	receptor_only_geometry	0.46629068462401796	2.0789966075885458
18	bound_geometry	0.5552974186307519	1.6491292810780709
18	receptor_only_geometry	0.3838552188552189	1.7318582279344557
19	bound_geometry	0.3760381593714927	2.169481598771069
19	receptor_only_geometry	0.5638552188552189	1.3541511285824546
20	bound_geometry	0.7503591470258137	1.0241601083152712
20	receptor_only_geometry	0.41393378226711564	1.3765236315479692
21	bound_geometry	0.3665993265993266	2.127875691229276
21	receptor_only_geometry	0.2959315375982043	2.7473772586881244
22	bound_geometry	0.7451739618406285	1.0319682533953685
22	receptor_only_geometry	0.5511616161616161	1.4721730655266647
23	bound_geometry	0.4079012345679012	1.8993915971146513
23	receptor_only_geometry	0.4287485970819304	2.7697881377187374
24	bound_geometry	0.2516161616161616	2.172515438111671
24	receptor_only_geometry	0.32815375982042655	1.8224510904163842
25	bound_geometry	0.6255106621773289	1.2552377335503873
25	receptor_only_geometry	0.38292368125701465	2.025558590356798
26	bound_geometry	0.6140179573512906	1.1935170362975884
26	receptor_only_geometry	0.34274410774410774	1.7304269596879613
27	bound_geometry	0.3279236812570146	1.639708055774542
27	receptor_only_geometry	0.6357856341189674	1.318739985086466
28	bound_geometry	0.5269023569023569	1.253857480590282
28	receptor_only_geometry	0.628658810325477	1.325750093704529
29	bound_geometry	0.7540291806958473	0.8992590165851183
29	receptor_only_geometry	0.5422390572390573	1.3775618597570753
30	bound_geometry	0.24139169472502808	2.672292911432051
30	receptor_only_geometry	0.3400617283950617	1.9480766551803492
31	bound_geometry	0.35202020202020207	2.3673426761646903
31	receptor_only_geometry	0.43076879910213245	1.7656235693355187
32	bound_geometry	0.7935802469135803	1.1388510300399344
32	receptor_only_geometry	0.6007912457912458	1.3739810262425538
33	bound_geometry	0.5066778900112233	1.662986583592001
33	receptor_only_geometry	0.7003872053872052	1.0219547884054214
34	bound_geometry	0.2794500561167228	2.418560580530446
34	receptor_only_geometry	0.46855780022446697	1.886998824466263
35	bound_geometry	0.24169472502805836	2.0004736020718417
35	receptor_only_geometry	0.3759988776655443	2.2778341574180287
36	bound_geometry	0.3554994388327722	1.9729465146819327
36	receptor_only_geometry	0.4674691358024692	1.8559357477822942
37	bound_geometry	0.6300561167227834	1.3091818255761087
37	receptor_only_geometry	0.4201290684624018	1.5789363063923811
38	bound_geometry	0.5521548821548822	1.2912136430424226
38	receptor_only_geometry	0.4897923681257014	1.4488487994405976
