iteration	experiment	macro_roc_auc	log_loss
0	bound_geometry	0.3814102564102564	2.8993867602157937
0	receptor_only_geometry	0.42115384615384616	1.7940110024267868
1	bound_geometry	0.7121794871794872	1.0110344499701363
1	receptor_only_geometry	0.6785256410256411	1.1208929807909034
2	bound_geometry	0.5717948717948718	1.4096516017952032
2	receptor_only_geometry	0.35705128205128206	2.300643612220222
3	bound_geometry	0.43365384615384617	1.831823176086407
3	receptor_only_geometry	0.5756410256410257	1.3290452796141032
4	bound_geometry	0.40416666666666673	1.9834412552412926
4	receptor_only_geometry	0.4455128205128205	1.9745118697999464
5	bound_geometry	0.3974358974358975	1.7848320849274764
5	receptor_only_geometry	0.49775641025641026	1.4675731305328155
6	bound_geometry	0.6112179487179489	1.4134368228261198
6	receptor_only_geometry	0.5246794871794872	1.4476737813726823
7	bound_geometry	0.3766025641025641	2.2065055537146443
7	receptor_only_geometry	0.3942307692307692	1.6767839529329978
8	bound_geometry	0.6128205128205129	1.385176728165697
8	receptor_only_geometry	0.701602564102564	1.0197265336390733
9	bound_geometry	0.3326923076923077	2.027317785119565
9	receptor_only_geometry	0.4881410256410256	1.8367910975294128
10	bound_geometry	0.6990384615384615	1.2551417508770875
10	receptor_only_geometry	0.603525641025641	1.5909099311790447
11	bound_geometry	0.5974358974358974	1.7302157912019576
11	receptor_only_geometry	0.5455128205128205	1.1770053927066932
12	bound_geometry	0.4548076923076923	1.984717980364793
12	receptor_only_geometry	0.45737179487179486	1.7330592873558612
13	bound_geometry	0.6243589743589744	1.289614691557685
13	receptor_only_geometry	0.7407051282051281	1.030863195653511
14	bound_geometry	0.7294871794871796	0.9878543089473497
14	receptor_only_geometry	0.6435897435897435	1.1497030650985762
15	bound_geometry	0.5371794871794872	1.819449698322654
15	receptor_only_geometry	0.6201923076923076	1.2973888688122126
16	bound_geometry	0.6240384615384614	1.1258697881043904
16	receptor_only_geometry	0.5676282051282051	1.6398528048346694
17	bound_geometry	0.36346153846153845	2.2170443193459124
17	receptor_only_geometry	0.5490384615384616	1.960968688041401
18	bound_geometry	0.555128205128205	1.5923401520008351
18	receptor_only_geometry	0.45897435897435895	1.9072834914250625
19	bound_geometry	0.3253205128205128	1.9472594480230552
19	receptor_only_geometry	0.303525641025641	1.7850657643077115
20	bound_geometry	0.3490384615384616	2.0437750495262823
20	receptor_only_geometry	0.39967948717948715	1.631713916625029
21	bound_geometry	0.6407051282051283	1.2482122725981148
21	receptor_only_geometry	0.6086538461538461	1.1224061952872877
22	bound_geometry	0.36858974358974356	2.050835874160285
22	receptor_only_geometry	0.5057692307692307	1.656910263288784
23	bound_geometry	0.6086538461538461	1.468604062418454
23	receptor_only_geometry	0.521474358974359	1.4013405442406948
24	bound_geometry	0.5060897435897437	1.7465997300858385
24	receptor_only_geometry	0.5881410256410257	1.2725883236289413
25	bound_geometry	0.4923076923076923	1.7091881128733435
25	receptor_only_geometry	0.42467948717948717	2.195917565483035
26	bound_geometry	0.3891025641025641	2.2274628712015905
26	receptor_only_geometry	0.4019230769230769	2.0074423129277945
27	bound_geometry	0.3137820512820513	1.9200657897693425
27	receptor_only_geometry	0.32499999999999996	2.054172619631521
28	bound_geometry	0.4913461538461539	1.4005221163303492
28	receptor_only_geometry	0.4983974358974359	1.6808184691748322
29	bound_geometry	0.5810897435897436	1.4805908718506584
29	receptor_only_geometry	0.5028846153846154	1.361748731487313
30	bound_geometry	0.45737179487179486	1.5054703312022937
30	receptor_only_geometry	0.3365384615384615	2.4719928094176304
31	bound_geometry	0.3266025641025641	2.046828136663915
31	receptor_only_geometry	0.610897435897436	1.251063990826365
32	bound_geometry	0.6038461538461538	1.282409618971442
32	receptor_only_geometry	0.5413461538461538	1.623114698552228
33	bound_geometry	0.3153846153846154	2.1518949141320545
33	receptor_only_geometry	0.49198717948717946	1.7345058509990727
34	bound_geometry	0.6176282051282052	1.3608727437783188
34	receptor_only_geometry	0.4903846153846154	1.3736432561750815
35	bound_geometry	0.3737179487179487	2.4789757702613664
35	receptor_only_geometry	0.5403846153846154	1.5677063821471042
36	bound_geometry	0.4189102564102564	1.7985215105709864
36	receptor_only_geometry	0.4762820512820513	1.7940757432735264
37	bound_geometry	0.37916666666666665	2.4828294612118285
37	receptor_only_geometry	0.6878205128205127	0.9923568866555191
38	bound_geometry	0.49775641025641026	1.352859908178483
38	receptor_only_geometry	0.5666666666666667	3.106405027405413
39	bound_geometry	0.3	2.0007484083547586
39	receptor_only_geometry	0.45865384615384613	2.4827052536248617
40	bound_geometry	0.3974358974358974	1.8662949183205109
40	receptor_only_geometry	0.4461538461538462	2.372751784977487
41	bound_geometry	0.5801282051282052	1.3381942588120834
41	receptor_only_geometry	0.5772435897435897	1.2260897817237222
42	bound_geometry	0.42339743589743595	2.3067079733051856
42	receptor_only_geometry	0.6038461538461538	1.2665433478345771
43	bound_geometry	0.3810897435897436	1.9707429547795998
43	receptor_only_geometry	0.4692307692307692	1.4975074830222543
44	bound_geometry	0.4112179487179488	2.5805654400260685
44	receptor_only_geometry	0.3881410256410256	1.674235507960313
45	bound_geometry	0.48205128205128206	1.5869197734383371
45	receptor_only_geometry	0.5887820512820513	1.2181717385358615
46	bound_geometry	0.3769230769230769	1.9666921582209715
46	receptor_only_geometry	0.5532051282051281	1.6026608444305788
47	bound_geometry	0.45480769230769225	1.6962684476379506
47	receptor_only_geometry	0.43974358974358974	2.1164723754062233
48	bound_geometry	0.4573717948717948	1.8591113920043414
48	receptor_only_geometry	0.6746794871794872	0.9929084756362292
49	bound_geometry	0.5333333333333333	1.4733342712907411
49	receptor_only_geometry	0.3967948717948718	2.1526130009561566
50	bound_geometry	0.6538461538461539	1.322302449366577
50	receptor_only_geometry	0.6371794871794871	1.3630329042040668
51	bound_geometry	0.5698717948717948	1.5009732799551718
51	receptor_only_geometry	0.6746794871794872	1.0311631246923798
52	bound_geometry	0.601923076923077	1.332323870891389
52	receptor_only_geometry	0.594551282051282	1.2203152020654577
53	bound_geometry	0.4394230769230769	1.869011951834165
53	receptor_only_geometry	0.5657051282051282	1.1914952882669412
54	bound_geometry	0.532051282051282	1.4855772262093403
54	receptor_only_geometry	0.48685897435897435	1.6251283586802774
55	bound_geometry	0.296474358974359	2.452562763851357
55	receptor_only_geometry	0.37019230769230765	1.7631237218612303
56	bound_geometry	0.378525641025641	1.8477769616978708
56	receptor_only_geometry	0.5512820512820512	1.56017048553326
57	bound_geometry	0.6323717948717948	1.3024878283095662
57	receptor_only_geometry	0.43269230769230765	2.1780116608194877
58	bound_geometry	0.43301282051282053	2.3454094243637797
58	receptor_only_geometry	0.3778846153846154	1.9800216244410451
59	bound_geometry	0.4891025641025641	1.6925389923171519
59	receptor_only_geometry	0.5448717948717948	1.4053079688358536
60	bound_geometry	0.39326923076923076	2.2060874831307355
60	receptor_only_geometry	0.5592948717948718	1.426663608084407
61	bound_geometry	0.5064102564102564	1.5295649035052115
61	receptor_only_geometry	0.23076923076923075	2.0963808658077574
62	bound_geometry	0.4980769230769231	1.6770090235960544
62	receptor_only_geometry	0.5714743589743589	1.2735781913793758
63	bound_geometry	0.5544871794871796	1.5465937807114307
63	receptor_only_geometry	0.39487179487179486	1.845140574860348
64	bound_geometry	0.5644230769230769	1.3887536501468871
64	receptor_only_geometry	0.3887820512820513	1.6511896706461853
65	bound_geometry	0.5067307692307693	2.465591846757163
65	receptor_only_geometry	0.4980769230769231	1.577094615449652
66	bound_geometry	0.7012820512820513	0.9419594726623086
66	receptor_only_geometry	0.5855769230769231	1.8288055306814368
67	bound_geometry	0.49230769230769234	1.8970032991457468
67	receptor_only_geometry	0.48365384615384616	1.8340601815521305
68	bound_geometry	0.46858974358974365	1.896876815041414
68	receptor_only_geometry	0.39423076923076916	1.7402641729012192
