transformed_feature	absolute_coefficient
numeric__receptor_only__tm6_aligned_displacement	0.16376701116983436
numeric__receptor_only__sodium_pocket_spread	0.10701218868274716
numeric__receptor_only__tm6_lower_upper_kink	0.09449145424988585
numeric__receptor_only__icl2_centroid_to_tm5_561	0.07061889358458691
numeric__receptor_only__icl2_longest_helix	0.06958948254996199
numeric__receptor_only__sodium_pocket_volume	0.050648109635050786
numeric__receptor_only__tm5_cytoplasmic_extension	0.04596296776193801
numeric__receptor_only__tm3_tm7_distance	0.044354043196304954
numeric__receptor_only__icl2_axis_tm5_angle	0.036152094580612776
numeric__receptor_only__npxxy_local_spread	0.032249075444101195
numeric__receptor_only__sodium_d250_n745_distance	0.03075553728575969
numeric__receptor_only__intracellular_cavity_core_wall_fraction_tm3	0.030514582655909814
numeric__receptor_only__w648_chi2	0.029263679545825958
numeric__receptor_only__icl2_helix_fraction	0.02900434356020024
numeric__receptor_only__h8_tm6_distance	0.026674847145115126
numeric__receptor_only__intracellular_cavity_core_wall_fraction_icl2	0.023062913784888752
numeric__receptor_only__sodium_d250_s339_distance	0.02252438156817117
numeric__receptor_only__r350_chi2	0.021716151443201517
numeric__receptor_only__intracellular_cavity_core_centroid_y	0.020697580591286072
numeric__receptor_only__intracellular_cavity_core_tm7_side_fraction	0.019626558791689747
numeric__receptor_only__intracellular_cavity_core_tm5_side_fraction	0.019626558791689425
numeric__receptor_only__cwxp_647_650_distance	0.019144361915414916
numeric__receptor_only__intracellular_cavity_core_centroid_x	0.018959686994519442
numeric__receptor_only__intracellular_cavity_core_sphericity	0.018749464297084673
numeric__receptor_only__sodium_d250_n749_distance	0.01682904222614544
numeric__receptor_only__icl2_active_reference_displacement	0.014588272867509784
numeric__receptor_only__activation_consensus_score	0.014345648318939334
numeric__receptor_only__position_644_chi2	0.014062833211459484
numeric__receptor_only__y753_chi2	0.012125982548326975
numeric__receptor_only__intracellular_cavity_core_principal_length_1	0.011535124999927085
