transformed_feature	absolute_coefficient
numeric__receptor_only__tm6_lower_upper_kink	0.13465782146683722
numeric__receptor_only__tm3_tm7_distance	0.12043868894305518
numeric__receptor_only__sodium_d250_s339_distance	0.1046099217653676
numeric__receptor_only__icl2_centroid_to_tm5_561	0.09878126559220335
numeric__receptor_only__tm6_aligned_displacement	0.09179443473616428
numeric__receptor_only__position_644_chi2	0.08169431749780828
numeric__receptor_only__pif_340_644_distance	0.07659133013038784
numeric__receptor_only__sodium_pocket_spread	0.07358737262037321
numeric__receptor_only__icl2_axis_tm5_angle	0.06734134092934134
numeric__receptor_only__tm6_r350_634_distance	0.06352091344144077
numeric__receptor_only__sodium_d250_n749_distance	0.06232562087398454
numeric__receptor_only__y753_chi1	0.061798857858367764
numeric__receptor_only__position_644_chi1	0.06093018036749229
numeric__receptor_only__npxxy_local_spread	0.05521404044646835
numeric__receptor_only__activation_consensus_score	0.05488805623603257
numeric__receptor_only__intracellular_cavity_core_centroid_z	0.05401408527103424
numeric__receptor_only__icl2_axis_tm3_angle	0.051338937011425584
numeric__receptor_only__tm5_cytoplasmic_extension	0.049163251759793435
numeric__receptor_only__cwxp_647_650_distance	0.04912181948935027
numeric__receptor_only__intracellular_cavity_core_centroid_y	0.04799309366462578
numeric__receptor_only__h8_tm6_distance	0.04782423492946226
numeric__receptor_only__icl2_mean_phi	0.04590787539744543
numeric__receptor_only__intracellular_cavity_core_centroid_x	0.04526135144205521
numeric__receptor_only__sodium_pocket_volume	0.04371723811935698
numeric__receptor_only__tm5_r350_561_distance	0.04233356178307636
numeric__receptor_only__r350_chi1	0.04148074513035065
numeric__receptor_only__tm5_r350_564_distance	0.04110447374515342
numeric__receptor_only__intracellular_cavity_core_wall_fraction_icl2	0.03941610786394796
numeric__receptor_only__icl2_centroid_to_tm6_634	0.0391442617671768
numeric__receptor_only__intracellular_cavity_core_principal_length_1	0.036975455109256546
