analysis	experiment	outer_fold	test_units	test_receptors	train_units_approx	train_receptors_approx	test_receptor_names	test_Gs	train_Gs_approx	test_Gi/o	train_Gi/o_approx	test_Gq/11	train_Gq/11_approx
P0_strict_matched	bound_geometry	0	4	3	11	9	adrb2_human;gpr34_human;mrgx2_human	1	4	2	4	1	3
P0_strict_matched	bound_geometry	1	4	3	11	9	opsd_bovin;taar1_mouse;taar9_mouse	2	3	1	5	1	3
P0_strict_matched	bound_geometry	2	3	3	12	9	acm3_human;gp101_human;oprd_human	1	4	1	5	1	3
P0_strict_matched	bound_geometry	3	4	3	11	9	aa2ar_human;hcar2_human;lpar1_human	1	4	2	4	1	3
P0_strict_matched	deformation	0	4	3	11	9	adrb2_human;gpr34_human;mrgx2_human	1	4	2	4	1	3
P0_strict_matched	deformation	1	4	3	11	9	opsd_bovin;taar1_mouse;taar9_mouse	2	3	1	5	1	3
P0_strict_matched	deformation	2	3	3	12	9	acm3_human;gp101_human;oprd_human	1	4	1	5	1	3
P0_strict_matched	deformation	3	4	3	11	9	aa2ar_human;hcar2_human;lpar1_human	1	4	2	4	1	3
P0_strict_matched	receptor_only_geometry	0	4	3	11	9	adrb2_human;gpr34_human;mrgx2_human	1	4	2	4	1	3
P0_strict_matched	receptor_only_geometry	1	4	3	11	9	opsd_bovin;taar1_mouse;taar9_mouse	2	3	1	5	1	3
P0_strict_matched	receptor_only_geometry	2	3	3	12	9	acm3_human;gp101_human;oprd_human	1	4	1	5	1	3
P0_strict_matched	receptor_only_geometry	3	4	3	11	9	aa2ar_human;hcar2_human;lpar1_human	1	4	2	4	1	3
P0_strict_matched	receptor_only_plus_deformation	0	4	3	11	9	adrb2_human;gpr34_human;mrgx2_human	1	4	2	4	1	3
P0_strict_matched	receptor_only_plus_deformation	1	4	3	11	9	opsd_bovin;taar1_mouse;taar9_mouse	2	3	1	5	1	3
P0_strict_matched	receptor_only_plus_deformation	2	3	3	12	9	acm3_human;gp101_human;oprd_human	1	4	1	5	1	3
P0_strict_matched	receptor_only_plus_deformation	3	4	3	11	9	aa2ar_human;hcar2_human;lpar1_human	1	4	2	4	1	3
P1_terminal_strict_matched	bound_geometry	0	4	3	14	12	adrb2_human;gpr34_human;mrgx2_human	1	4	2	6	1	4
P1_terminal_strict_matched	bound_geometry	1	4	3	14	12	opsd_bovin;pe2r3_human;taar1_mouse	1	4	2	6	1	4
P1_terminal_strict_matched	bound_geometry	2	4	3	14	12	aa2ar_human;lpar1_human;mrgx4_human	1	4	1	7	2	3
P1_terminal_strict_matched	bound_geometry	3	3	3	15	12	acm3_human;oprd_human;taar9_mouse	1	4	1	7	1	4
P1_terminal_strict_matched	bound_geometry	4	3	3	15	12	gp101_human;hcar2_human;hcar3_human	1	4	2	6	0	5
P1_terminal_strict_matched	receptor_only_geometry	0	4	3	14	12	adrb2_human;gpr34_human;mrgx2_human	1	4	2	6	1	4
P1_terminal_strict_matched	receptor_only_geometry	1	4	3	14	12	opsd_bovin;pe2r3_human;taar1_mouse	1	4	2	6	1	4
P1_terminal_strict_matched	receptor_only_geometry	2	4	3	14	12	aa2ar_human;lpar1_human;mrgx4_human	1	4	1	7	2	3
P1_terminal_strict_matched	receptor_only_geometry	3	3	3	15	12	acm3_human;oprd_human;taar9_mouse	1	4	1	7	1	4
