feature	class_a	class_b	n_paired_receptors	median_paired_difference_a_minus_b	paired_difference_ci_low	paired_difference_ci_high	wilcoxon_statistic	p_value	p_fdr	comparison
activation_consensus_feature_count	Gs	Gi/o	10	0.0	0.0	0.0	0.0	1.0	1.0	Gs vs Gi/o
activation_consensus_feature_count	Gs	Gq/11	10	0.0	0.0	0.0	0.0	1.0	1.0	Gs vs Gq/11
activation_consensus_feature_count	Gi/o	Gq/11	22	0.0	0.0	0.0				Gi/o vs Gq/11
activation_consensus_score	Gs	Gi/o	10	0.0174494569770582	-0.0097549687032661	0.0508164152324121	19.0	0.431640625	1.0	Gs vs Gi/o
activation_consensus_score	Gs	Gq/11	10	0.0166649081715295	-0.0291887976569195	0.0880748796394226	17.0	0.322265625	1.0	Gs vs Gq/11
activation_consensus_score	Gi/o	Gq/11	22	-0.0024208668363238	-0.033561765759101	0.0190799582981435	119.0	0.8237285614013672	1.0	Gi/o vs Gq/11
cwxp_647_650_distance	Gs	Gi/o	10	0.2329499999999997	-0.1422712500000004	0.3850999999999995	18.0	0.375	1.0	Gs vs Gi/o
cwxp_647_650_distance	Gs	Gq/11	10	0.3619499999999997	-0.0012999999999996	0.5918999999999999	6.0	0.02734375	0.8306587837837838	Gs vs Gq/11
cwxp_647_650_distance	Gi/o	Gq/11	22	0.1155499999999998	-0.0954499999999995	0.4412000000000002	74.0	0.0917325019836425	0.8306587837837838	Gi/o vs Gq/11
dry_d349_r350_min_distance	Gs	Gi/o	10	-0.0012499999999999	-0.00535	0.0009000000000001	18.0	0.361328125	1.0	Gs vs Gi/o
dry_d349_r350_min_distance	Gs	Gq/11	10	0.0	-0.00156	0.0055499999999999	23.0	0.67578125	1.0	Gs vs Gq/11
dry_d349_r350_min_distance	Gi/o	Gq/11	22	0.00145	-0.0012	0.00345	74.0	0.0882557553516803	0.8306587837837838	Gi/o vs Gq/11
dry_r350_630_ca_distance	Gs	Gi/o	9	0.2235999999999993	-0.7676999999999996	1.4377999999999993	16.0	0.49609375	1.0	Gs vs Gi/o
dry_r350_630_ca_distance	Gs	Gq/11	9	-0.0153999999999996	-0.2995000000000001	0.6564999999999976	17.0	0.5703125	1.0	Gs vs Gq/11
dry_r350_630_ca_distance	Gi/o	Gq/11	21	-0.3340999999999994	-0.5289000000000001	0.3607000000000013	87.0	0.3376598358154297	1.0	Gi/o vs Gq/11
dry_r350_630_charged_distance	Gs	Gi/o	5	-0.532	-2.815100000000001	2.3610000000000007	6.0	0.8125	1.0	Gs vs Gi/o
dry_r350_630_charged_distance	Gs	Gq/11	7	0.3567	-0.1783999999999999	0.6164000000000005	9.0	0.46875	1.0	Gs vs Gq/11
dry_r350_630_charged_distance	Gi/o	Gq/11	12	-0.03655	-1.3758499999999998	0.6678499999999987	33.0	0.67724609375	1.0	Gi/o vs Gq/11
dry_r350_630_min_distance	Gs	Gi/o	9	0.0961999999999996	-0.4626999999999999	0.3306999999999984	22.0	1.0	1.0	Gs vs Gi/o
dry_r350_630_min_distance	Gs	Gq/11	9	0.1587999999999993	-0.2092999999999989	0.7625999999999991	14.0	0.359375	1.0	Gs vs Gq/11
dry_r350_630_min_distance	Gi/o	Gq/11	21	0.0150000000000005	-0.2620000000000004	0.4253	106.0	0.7592878341674805	1.0	Gi/o vs Gq/11
h8_end_to_end_distance	Gs	Gi/o	8	0.3458499999999995	-0.4345999999999996	0.9888000000000012	13.0	0.546875	1.0	Gs vs Gi/o
h8_end_to_end_distance	Gs	Gq/11	6	0.2204499999999996	0.0112500000000013	1.07695	1.0	0.0625	0.8306587837837838	Gs vs Gq/11
h8_end_to_end_distance	Gi/o	Gq/11	13	-0.1282999999999994	-0.4588000000000001	0.1488999999999993	36.0	0.541748046875	1.0	Gi/o vs Gq/11
h8_r350_distance	Gs	Gi/o	10	0.4440999999999988	-0.8346500000000017	1.230599999999999	20.0	0.4921875	1.0	Gs vs Gi/o
h8_r350_distance	Gs	Gq/11	10	-0.3596499999999984	-1.752200000000002	0.8788	19.0	0.431640625	1.0	Gs vs Gq/11
h8_r350_distance	Gi/o	Gq/11	18	0.0850999999999988	-0.7663499999999992	0.5587999999999997	81.0	0.8650436401367188	1.0	Gi/o vs Gq/11
h8_tm6_distance	Gs	Gi/o	10	1.0413000000000014	0.1175999999999994	1.6004000000000005	11.0	0.10546875	0.8306587837837838	Gs vs Gi/o
h8_tm6_distance	Gs	Gq/11	10	0.3956999999999997	-0.5607999999999986	2.3206999999999987	16.0	0.275390625	1.0	Gs vs Gq/11
h8_tm6_distance	Gi/o	Gq/11	18	-0.0369499999999973	-0.5030500000000018	0.4116499999999998	82.0	0.8985748291015625	1.0	Gi/o vs Gq/11
icl2_active_reference_displacement	Gs	Gi/o	10	-0.1338999999999998	-0.5628	0.3032500000000001	21.0	0.556640625	1.0	Gs vs Gi/o
icl2_active_reference_displacement	Gs	Gq/11	9	0.0457	-0.3893999999999999	0.7711999999999999	18.0	0.65234375	1.0	Gs vs Gq/11
icl2_active_reference_displacement	Gi/o	Gq/11	21	0.0971999999999999	-0.5202	0.2947999999999999	98.0	0.5620746612548828	1.0	Gi/o vs Gq/11
icl2_axis_tm3_angle	Gs	Gi/o	10	2.442999999999998	-6.536699999999996	4.185400000000001	27.0	1.0	1.0	Gs vs Gi/o
icl2_axis_tm3_angle	Gs	Gq/11	9	0.5052000000000021	-1.4744000000000028	2.3355000000000032	22.0	1.0	1.0	Gs vs Gq/11
icl2_axis_tm3_angle	Gi/o	Gq/11	21	-0.8305000000000007	-1.604300000000002	1.033299999999997	115.0	1.0	1.0	Gi/o vs Gq/11
icl2_axis_tm5_angle	Gs	Gi/o	9	-2.7150000000000034	-3.5634400000000013	1.4065000000000012	7.0	0.07421875	0.8306587837837838	Gs vs Gi/o
icl2_axis_tm5_angle	Gs	Gq/11	5	1.066799999999997	-18.7801	3.157	7.0	1.0	1.0	Gs vs Gq/11
icl2_axis_tm5_angle	Gi/o	Gq/11	12	1.3355999999999997	-0.3376999999999981	19.592600000000004	14.0	0.05224609375	0.8306587837837838	Gi/o vs Gq/11
icl2_centroid_to_r350	Gs	Gi/o	10	0.2269000000000005	-0.2385000000000001	0.4800000000000004	16.0	0.275390625	1.0	Gs vs Gi/o
icl2_centroid_to_r350	Gs	Gq/11	9	0.2574000000000005	0.1821000000000001	1.1654	5.0	0.0390625	0.8306587837837838	Gs vs Gq/11
icl2_centroid_to_r350	Gi/o	Gq/11	21	0.0131999999999994	-0.1143999999999998	0.4147999999999996	74.0	0.1571340560913086	0.9783457880434784	Gi/o vs Gq/11
icl2_centroid_to_tm5_561	Gs	Gi/o	10	0.2090000000000005	-0.0073500000000006	1.03505	8.0	0.048828125	0.8306587837837838	Gs vs Gi/o
icl2_centroid_to_tm5_561	Gs	Gq/11	9	0.1294000000000004	-0.1381999999999976	0.4048224999999706	13.0	0.30078125	1.0	Gs vs Gq/11
icl2_centroid_to_tm5_561	Gi/o	Gq/11	21	-0.0144000000000001	-0.2589000000000006	0.1903999999999968	115.0	1.0	1.0	Gi/o vs Gq/11
icl2_centroid_to_tm6_634	Gs	Gi/o	10	-0.0463500000000003	-0.8355499999999978	0.8367500000000003	27.0	1.0	1.0	Gs vs Gi/o
icl2_centroid_to_tm6_634	Gs	Gq/11	9	0.4638999999999988	-0.0127999999999985	1.7835	8.0	0.09765625	0.8306587837837838	Gs vs Gq/11
icl2_centroid_to_tm6_634	Gi/o	Gq/11	21	0.3658999999999999	0.0737999999999985	0.8746000000000009	75.0	0.1678066253662109	0.9823679526646932	Gi/o vs Gq/11
icl2_centroid_to_tm7_753	Gs	Gi/o	10	-0.0312999999999998	-0.437899999999999	0.5023462499999969	27.0	1.0	1.0	Gs vs Gi/o
icl2_centroid_to_tm7_753	Gs	Gq/11	9	0.2285000000000003	-0.7499000000000002	0.747600000000002	18.0	0.65234375	1.0	Gs vs Gq/11
icl2_centroid_to_tm7_753	Gi/o	Gq/11	21	0.2376000000000004	-0.3031000000000006	1.000899999999998	71.0	0.1280784606933593	0.8755115327380952	Gi/o vs Gq/11
icl2_end_to_end_distance	Gs	Gi/o	10	0.1937000000000006	-0.228299999999999	1.693950000000001	17.0	0.322265625	1.0	Gs vs Gi/o
icl2_end_to_end_distance	Gs	Gq/11	9	0.3170000000000001	0.2772000000000005	1.3033	0.0	0.00390625	0.548828125	Gs vs Gq/11
icl2_end_to_end_distance	Gi/o	Gq/11	21	-0.1440999999999999	-0.5196999999999985	0.1351999999999993	97.0	0.539189338684082	1.0	Gi/o vs Gq/11
icl2_generic_ca_count	Gs	Gi/o	10	0.0	0.0	0.0	0.0	1.0	1.0	Gs vs Gi/o
icl2_generic_ca_count	Gs	Gq/11	10	0.0	0.0	1.5	0.0	0.5	1.0	Gs vs Gq/11
icl2_generic_ca_count	Gi/o	Gq/11	22	0.0	0.0	0.0	1.0	0.6547208460185769	1.0	Gi/o vs Gq/11
icl2_helix_fraction	Gs	Gi/o	10	0.0	-0.125	0.0	4.0	0.75	1.0	Gs vs Gi/o
icl2_helix_fraction	Gs	Gq/11	10	0.0	-0.125	0.08335	7.0	1.0	1.0	Gs vs Gq/11
icl2_helix_fraction	Gi/o	Gq/11	22	0.0	0.0	0.0	12.5	0.2273769693895434	1.0	Gi/o vs Gq/11
icl2_longest_helix	Gs	Gi/o	10	-0.5	-1.0	0.0	5.5	0.40625	1.0	Gs vs Gi/o
icl2_longest_helix	Gs	Gq/11	10	-0.5	-1.0	0.0	5.0	0.375	1.0	Gs vs Gq/11
icl2_longest_helix	Gi/o	Gq/11	22	0.0	-0.5	0.0	22.0	0.2850494074026127	1.0	Gi/o vs Gq/11
icl2_mean_phi	Gs	Gi/o	10	-12.609250000000005	-30.3202	-5.091400000000007	3.0	0.009765625	0.768359375	Gs vs Gi/o
