receptor_name	class_a	class_b	comparison	class_a_pdbs	class_b_pdbs	class_a_chains	class_b_chains
5ht4r_human	Gi/o	Gs	Gi/o vs Gs	7XTA	7XT8	R	R
adrb1_melga	Gi/o	Gs	Gi/o vs Gs	7S0F	7JJO	R	R
c3ar_human	Gi/o	Gq/11	Gi/o vs Gq/11	8IA8	8I9A	A	C
cckar_human	Gi/o	Gq/11	Gi/o vs Gq/11	7EZH	7EZM	D	D
cckar_human	Gi/o	Gs	Gi/o vs Gs	7EZH	7MBX	D	R
cckar_human	Gq/11	Gs	Gq/11 vs Gs	7EZM	7MBX	D	R
cnr1_human	Gi/o	Gs	Gi/o vs Gs	8GHV	8K8J	D	R
ednra_human	Gq/11	Gs	Gq/11 vs Gs	8HCQ	8XVI	R	R
ednrb_human	Gi/o	Gq/11	Gi/o vs Gq/11	8IY5	8HCX	R	C
ednrb_human	Gi/o	Gs	Gi/o vs Gs	8IY5	8XVE	R	R
ednrb_human	Gq/11	Gs	Gq/11 vs Gs	8HCX	8XVE	C	R
ffar1_human	Gi/o	Gq/11	Gi/o vs Gq/11	9K1C	8EJK	R	R
ffar2_human	Gi/o	Gq/11	Gi/o vs Gq/11	8J22	8T3S	C	R
ffar4_human	Gi/o	Gq/11	Gi/o vs Gq/11	8ID6	8T3O	R	R
ffar4_human	Gi/o	Gs	Gi/o vs Gs	8ID6	8H4I	R	R
ffar4_human	Gq/11	Gs	Gq/11 vs Gs	8T3O	8H4I	R	R
gasr_human	Gi/o	Gq/11	Gi/o vs Gq/11	7F8V	7F8W	R	R
ghsr_human	Gi/o	Gq/11	Gi/o vs Gq/11	7NA7	7F9Z	R	R
gp139_human	Gi/o	Gs	Gi/o vs Gs	7VUG	7VUH	R	R
hrh2_human	Gq/11	Gs	Gq/11 vs Gs	8YN4	8YN3	R	R
hrh4_human	Gi/o	Gq/11	Gi/o vs Gq/11	8JXW	7YFC	R	R
kissr_human	Gi/o	Gq/11	Gi/o vs Gq/11	8XGU	8XGO	A	A
lpar1_human	Gi/o	Gq/11	Gi/o vs Gq/11	7TD0	9IZG	R	R
mrgrd_human	Gi/o	Gq/11	Gi/o vs Gq/11	7Y15	9DQJ	R	A
mrgx1_human	Gi/o	Gq/11	Gi/o vs Gq/11	8JGB	8JGF	R	R
mrgx2_human	Gi/o	Gq/11	Gi/o vs Gq/11	7VV5	7S8L	R	R
nk1r_human	Gq/11	Gs	Gq/11 vs Gs	7P00	8U26	R	R
nmur2_human	Gi/o	Gq/11	Gi/o vs Gq/11	7XK8	7W55	R	R
ntr1_human	Gi/o	Gq/11	Gi/o vs Gq/11	6OS9	8JPB	R	R
ntr1_rat	Gi/o	Gq/11	Gi/o vs Gq/11	7L0P	8FMZ	C	A
ox2r_human	Gi/o	Gq/11	Gi/o vs Gq/11	7SQO	7SR8	R	R
ox2r_human	Gi/o	Gs	Gi/o vs Gs	7SQO	7L1V	R	R
ox2r_human	Gq/11	Gs	Gq/11 vs Gs	7SR8	7L1V	R	R
p2ry1_human	Gq/11	Gs	Gq/11 vs Gs	7XXH	8WJX	R	R
par1_human	Gi/o	Gq/11	Gi/o vs Gq/11	8XOS	8XOR	R	R
pe2r4_human	Gi/o	Gs	Gi/o vs Gs	8GCP	8GDB	R	R
pf2r_human	Gq/11	Gs	Gq/11 vs Gs	8XJK	8IQ4	R	R
prlhr_human	Gi/o	Gq/11	Gi/o vs Gq/11	8ZPS	8ZPT	R	R
ssr2_human	Gi/o	Gq/11	Gi/o vs Gq/11	7T10	7Y26	R	E
sucr1_human	Gi/o	Gs	Gi/o vs Gs	8YKV	8JPP	R	R
taar1_mouse	Gq/11	Gs	Gq/11 vs Gs	8WCB	8ZSV	R	R
us28_hcmva	Gi/o	Gq/11	Gi/o vs Gq/11	7RKM	7RKF	R	R
