receptor_name	uniprot	species	hauser_uniprot_code	hauser_iuphar_name	direct_human_accession_match	supported_Gs	supported_Gi_o	supported_Gq_11	supported_G12_13	n_supported_modeled_families	n_supported_four_families	supported_2plus_modeled_families
5ht1a_human	P08908	Homo sapiens	5HT1A	5-HT1A	True	0.0	1.0	1.0	0.0	2.0	2.0	True
5ht1d_human	P28221	Homo sapiens	5HT1D	5-HT1D	True	0.0	1.0	0.0	0.0	1.0	1.0	False
5ht1e_human	P28566	Homo sapiens	5HT1E	5-HT1E	True	0.0	1.0	0.0	0.0	1.0	1.0	False
5ht1f_human	P30939	Homo sapiens	5HT1F	5-HT1F	True	0.0	1.0	0.0	0.0	1.0	1.0	False
5ht2a_human	P28223	Homo sapiens	5HT2A	5-HT2A	True	0.0	1.0	1.0	0.0	2.0	2.0	True
5ht2b_human	P41595	Homo sapiens	5HT2B	5-HT2B	True	0.0	1.0	1.0	0.0	2.0	2.0	True
5ht2c_human	P28335	Homo sapiens	5HT2C	5-HT2C	True	0.0	1.0	1.0	1.0	2.0	3.0	True
5ht4r_human	Q13639	Homo sapiens	5HT4R	5-HT4	True	1.0	0.0	0.0	1.0	1.0	2.0	False
5ht5a_human	P47898	Homo sapiens	5HT5A	5-HT5A	True	0.0	1.0	1.0	0.0	2.0	2.0	True
5ht6r_human	P50406	Homo sapiens	5HT6R	5-HT6	True	1.0	0.0	1.0	0.0	2.0	2.0	True
5ht7r_human	P34969	Homo sapiens	5HT7R	5-HT7	True	1.0	0.0	0.0	0.0	1.0	1.0	False
aa1r_human	P30542	Homo sapiens	AA1R	A1	True	1.0	1.0	1.0	1.0	3.0	4.0	True
aa2ar_human	P29274	Homo sapiens	AA2AR	A2A	True	1.0	0.0	1.0	0.0	2.0	2.0	True
aa2br_human	P29275	Homo sapiens	AA2BR	A2B	True	1.0	0.0	1.0	0.0	2.0	2.0	True
aa3r_human	P0DMS8	Homo sapiens	AA3R	A3	True	0.0	1.0	0.0	0.0	1.0	1.0	False
acm1_human	P11229	Homo sapiens	ACM1	M1	True	1.0	1.0	1.0	0.0	3.0	3.0	True
acm3_human	P20309	Homo sapiens	ACM3	M3	True	0.0	1.0	1.0	0.0	2.0	2.0	True
acm4_human	P08173	Homo sapiens	ACM4	M4	True	0.0	1.0	1.0	0.0	2.0	2.0	True
acthr_human	Q01718	Homo sapiens	ACTHR	MC2	True	1.0	0.0	0.0	0.0	1.0	1.0	False
ada1a_human	P35348	Homo sapiens	ADA1A	α1A	True	1.0	1.0	1.0	1.0	3.0	4.0	True
ada2a_human	P08913	Homo sapiens	ADA2A	α2A	True	1.0	1.0	1.0	1.0	3.0	4.0	True
ada2b_human	P18089	Homo sapiens	ADA2B	α2B	True	1.0	1.0	1.0	0.0	3.0	3.0	True
adrb1_melga	P07700	Meleagris gallopavo			False							
