feature	bound_nonmissing_fraction	partner_free_nonmissing_fraction	both_nonmissing_fraction	complete_all_units
activation_consensus_score	1.0	1.0	1.0	True
tm6_r350_634_distance	1.0	1.0	1.0	True
tm6_aligned_displacement	1.0	1.0	1.0	True
tm7_displacement	1.0	1.0	1.0	True
tm3_tm7_distance	1.0	1.0	1.0	True
tm6_r350_630_distance	0.9047619047619048	0.7142857142857143	0.7142857142857143	False
dry_r350_630_min_distance	0.9047619047619048	0.7142857142857143	0.7142857142857143	False
dry_r350_630_ca_distance	0.9047619047619048	0.7142857142857143	0.7142857142857143	False
dry_d349_r350_min_distance	1.0	1.0	1.0	True
r350_chi1	0.9523809523809523	1.0	0.9523809523809523	False
r350_chi2	0.9523809523809523	1.0	0.9523809523809523	False
pif_550_340_distance	1.0	1.0	1.0	True
pif_340_644_distance	1.0	1.0	1.0	True
pif_550_644_distance	1.0	1.0	1.0	True
pif_550_340_min_distance	1.0	1.0	1.0	True
pif_340_644_min_distance	1.0	1.0	1.0	True
pif_550_644_min_distance	1.0	1.0	1.0	True
pif_triangle_perimeter	1.0	1.0	1.0	True
position_644_chi1	1.0	1.0	1.0	True
position_644_chi2	1.0	1.0	1.0	True
w648_chi1	0.8571428571428571	0.8571428571428571	0.8571428571428571	False
w648_chi2	0.8571428571428571	0.8571428571428571	0.8571428571428571	False
w648_displacement	1.0	1.0	1.0	True
w648_to_644_distance	1.0	1.0	1.0	True
cwxp_647_650_distance	1.0	1.0	1.0	True
y753_chi1	1.0	1.0	1.0	True
y753_chi2	1.0	1.0	1.0	True
y753_y558_distance	1.0	1.0	1.0	True
y753_y558_min_distance	1.0	1.0	1.0	True
n749_y753_distance	1.0	1.0	1.0	True
npxxy_local_spread	1.0	1.0	1.0	True
y753_displacement	1.0	1.0	1.0	True
sodium_d250_s339_distance	1.0	1.0	1.0	True
sodium_d250_n745_distance	1.0	1.0	1.0	True
sodium_d250_s746_distance	1.0	1.0	1.0	True
sodium_d250_n749_distance	1.0	1.0	1.0	True
sodium_pocket_volume	1.0	1.0	1.0	True
sodium_pocket_spread	1.0	1.0	1.0	True
tm7_rotation	1.0	1.0	1.0	True
icl2_generic_ca_count	1.0	1.0	1.0	True
icl2_end_to_end_distance	0.9523809523809523	0.8571428571428571	0.8571428571428571	False
icl2_centroid_to_r350	0.9523809523809523	0.8571428571428571	0.8571428571428571	False
icl2_centroid_to_tm5_561	0.9523809523809523	0.8571428571428571	0.8571428571428571	False
icl2_centroid_to_tm6_634	0.9523809523809523	0.8571428571428571	0.8571428571428571	False
icl2_centroid_to_tm7_753	0.9523809523809523	0.8571428571428571	0.8571428571428571	False
icl2_axis_tm3_angle	0.9523809523809523	0.8571428571428571	0.8571428571428571	False
icl2_axis_tm5_angle	0.9047619047619048	0.8095238095238095	0.8095238095238095	False
icl2_active_reference_displacement	0.9523809523809523	0.8571428571428571	0.8571428571428571	False
tm5_cytoplasmic_extension	0.9523809523809523	0.8571428571428571	0.8571428571428571	False
tm5_cytoplasmic_kink	1.0	0.9047619047619048	0.9047619047619048	False
tm5_r350_561_distance	1.0	1.0	1.0	True
tm5_r350_564_distance	1.0	0.9047619047619048	0.9047619047619048	False
tm5_tm6_cavity_distance	1.0	1.0	1.0	True
tm5_axis_tm3_angle	0.9523809523809523	0.8571428571428571	0.8571428571428571	False
tm6_lower_upper_kink	0.9047619047619048	0.7142857142857143	0.7142857142857143	False
tm6_axis_tm3_angle	0.9047619047619048	0.7142857142857143	0.7142857142857143	False
tm6_tm7_cavity_distance	1.0	1.0	1.0	True
tm7_h8_angle	0.7142857142857143	0.8095238095238095	0.7142857142857143	False
h8_end_to_end_distance	0.7142857142857143	0.8095238095238095	0.7142857142857143	False
h8_r350_distance	0.8571428571428571	0.8571428571428571	0.8571428571428571	False
h8_tm6_distance	0.8571428571428571	0.8571428571428571	0.8571428571428571	False
icl2_helix_fraction	1.0	0.9047619047619048	0.9047619047619048	False
icl2_longest_helix	1.0	1.0	1.0	True
icl2_mean_phi	1.0	0.9047619047619048	0.9047619047619048	False
icl2_mean_psi	1.0	0.9047619047619048	0.9047619047619048	False
intracellular_cavity_core_volume	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_mouth_area	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_depth	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_maximum_width	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_average_cross_section	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_bottleneck_area	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_bottleneck_radius	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_max_inscribed_radius	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_surface_area	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_centroid_x	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_centroid_y	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_centroid_z	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_principal_length_1	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_principal_length_2	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_principal_length_3	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_principal_axis_1_z_alignment	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_eccentricity	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_sphericity	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_asymmetry	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_tm3_side_fraction	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_tm6_side_fraction	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_tm5_side_fraction	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_tm7_side_fraction	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_wall_fraction_h8	0.7619047619047619	0.5714285714285714	0.5714285714285714	False
intracellular_cavity_core_wall_fraction_icl2	0.8095238095238095	0.6190476190476191	0.6190476190476191	False
intracellular_cavity_core_wall_fraction_tm3	0.8571428571428571	0.6666666666666666	0.6666666666666666	False
intracellular_cavity_core_wall_fraction_tm7	0.8095238095238095	0.6190476190476191	0.6190476190476191	False
