experiment	validation	fold	status	train_n	test_n	train_groups	test_groups	group_overlap	n_numeric_features	n_categorical_features	n_iter	max_iter	converged	best_parameters
bound_geometry	receptor_grouped_5fold	0	ok	14	4	12	3	0	92	0	239	50000	True	"{""inner_macro_auc"": 0.8333333333333334, ""model__C"": 0.5, ""model__l1_ratio"": 0.25}"
bound_geometry	receptor_grouped_5fold	1	ok	14	4	12	3	0	92	0	84	50000	True	"{""inner_macro_auc"": 0.8379629629629631, ""model__C"": 0.1, ""model__l1_ratio"": 0.25}"
bound_geometry	receptor_grouped_5fold	2	ok	14	4	12	3	0	92	0	258	50000	True	"{""inner_macro_auc"": 0.8425925925925926, ""model__C"": 0.5, ""model__l1_ratio"": 0.25}"
bound_geometry	receptor_grouped_5fold	3	ok	15	3	12	3	0	92	0	240	50000	True	"{""inner_macro_auc"": 1.0, ""model__C"": 0.5, ""model__l1_ratio"": 0.25}"
bound_geometry	receptor_grouped_5fold	4	ok	15	3	12	3	0	92	0	97	50000	True	"{""inner_macro_auc"": 0.888888888888889, ""model__C"": 0.1, ""model__l1_ratio"": 0.25}"
receptor_only_geometry	receptor_grouped_5fold	0	ok	14	4	12	3	0	92	0	294	50000	True	"{""inner_macro_auc"": 0.6296296296296297, ""model__C"": 0.5, ""model__l1_ratio"": 0.25}"
receptor_only_geometry	receptor_grouped_5fold	1	ok	14	4	12	3	0	92	0	1352	50000	True	"{""inner_macro_auc"": 0.8703703703703703, ""model__C"": 5.0, ""model__l1_ratio"": 0.25}"
receptor_only_geometry	receptor_grouped_5fold	2	ok	14	4	12	3	0	92	0	966	50000	True	"{""inner_macro_auc"": 0.8287037037037037, ""model__C"": 1.0, ""model__l1_ratio"": 0.75}"
receptor_only_geometry	receptor_grouped_5fold	3	ok	15	3	12	3	0	92	0	440	50000	True	"{""inner_macro_auc"": 0.7962962962962963, ""model__C"": 0.5, ""model__l1_ratio"": 0.5}"
receptor_only_geometry	receptor_grouped_5fold	4	ok	15	3	12	3	0	92	0	1274	50000	True	"{""inner_macro_auc"": 0.6111111111111112, ""model__C"": 5.0, ""model__l1_ratio"": 0.25}"
