experiment	validation	fold	class_label	transformed_feature	coefficient	absolute_coefficient
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__activation_consensus_score	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm6_r350_634_distance	-0.15761559093475216	0.15761559093475216
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm6_aligned_displacement	-0.11702345054243771	0.11702345054243771
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm7_displacement	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm3_tm7_distance	0.08083445570502658	0.08083445570502658
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm6_r350_630_distance	-0.05147298887260961	0.05147298887260961
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__dry_r350_630_min_distance	-0.11829122385427991	0.11829122385427991
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__dry_r350_630_ca_distance	-0.05147298887260961	0.05147298887260961
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__dry_d349_r350_min_distance	0.0035198581006641873	0.0035198581006641873
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__r350_chi1	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__r350_chi2	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_550_340_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_340_644_distance	0.04366413174294939	0.04366413174294939
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_550_644_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_550_340_min_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_340_644_min_distance	0.11438356923784782	0.11438356923784782
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_550_644_min_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__pif_triangle_perimeter	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__position_644_chi1	-0.14798310639980292	0.14798310639980292
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__position_644_chi2	-0.15759382059604338	0.15759382059604338
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__w648_chi1	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__w648_chi2	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__w648_displacement	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__w648_to_644_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__cwxp_647_650_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__y753_chi1	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__y753_chi2	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__y753_y558_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__y753_y558_min_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__n749_y753_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__npxxy_local_spread	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__y753_displacement	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__sodium_d250_s339_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__sodium_d250_n745_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__sodium_d250_s746_distance	0.05570754249583156	0.05570754249583156
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__sodium_d250_n749_distance	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__sodium_pocket_volume	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__sodium_pocket_spread	0.0	0.0
bound_geometry	receptor_grouped_5fold	0	Gi/o	numeric__bound__tm7_rotation	0.0	0.0
