population	provenance_status	n_structures	n_receptors
strict_51	exclude_transducer_conditioned_focus	32	9
strict_51	eligible_genuine_partner_free	18	3
strict_51	exclude_inactive_state	1	1
terminal_P1_56	exclude_transducer_conditioned_focus	34	11
terminal_P1_56	eligible_genuine_partner_free	18	3
terminal_P1_56	eligible_partner_free_but_terminal_fusion	2	2
terminal_P1_56	exclude_inactive_state	2	2
terminal_ligand_permissive_P1_59	exclude_transducer_conditioned_focus	34	11
terminal_ligand_permissive_P1_59	eligible_genuine_partner_free	18	3
terminal_ligand_permissive_P1_59	eligible_partner_free_but_terminal_fusion	5	4
terminal_ligand_permissive_P1_59	exclude_inactive_state	2	2
ligand_permissive_58	exclude_transducer_conditioned_focus	37	11
ligand_permissive_58	eligible_genuine_partner_free	18	3
ligand_permissive_58	eligible_genuine_partner_free_ligand_permissive	2	2
ligand_permissive_58	exclude_inactive_state	1	1
