population	pdb_id	receptor_name	chain_id	experimental_method	resolution	original_activation_state	original_ligand_type	fusion_protein	fusion_names	cif_title	emdb_ids	em_sample_name	em_particles	citation_title	citation_doi	provenance_status	state_status	final_eligibility	reason	evidence_url	local_evidence	paired_full_complex_pdb	paired_full_complex_particles	exact_particle_count_match_to_full_complex	paired_full_complex_title	pair_evidence_note
terminal_ligand_permissive_P1_59	2YDO	aa2ar_human	A	X-ray diffraction	3.0		agonist	False		Thermostabilised HUMAN A2a Receptor with adenosine bound				Agonist-Bound Adenosine A(2A) Receptor Structures Reveal Common Features of Gpcr Activation.; Thermostabilisation of an Agonist-Bound Conformation of the Human Adenosine A(2A) Receptor.	10.1038/NATURE10136; 10.1016/J.JMB.2011.03.075	eligible_genuine_partner_free	active_or_active_like	True	Thermostabilised agonist-bound A2A receptor crystal; no intracellular transducer in specimen/model.	https://www.rcsb.org/structure/2YDO	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	2YDV	aa2ar_human	A	X-ray diffraction	2.6		agonist	False		Thermostabilised HUMAN A2a Receptor with NECA bound				Agonist-Bound Adenosine A(2A) Receptor Structures Reveal Common Features of Gpcr Activation.; Thermostabilisation of an Agonist-Bound Conformation of the Human Adenosine A(2A) Receptor.	10.1038/NATURE10136; 10.1016/J.JMB.2011.03.075	eligible_genuine_partner_free	active_or_active_like	True	Thermostabilised agonist-bound A2A receptor crystal; no intracellular transducer in specimen/model.	https://www.rcsb.org/structure/2YDV	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	4UG2	aa2ar_human	A	X-ray diffraction	2.6		agonist	False		Thermostabilised HUMAN A2a Receptor with CGS21680 bound				Molecular Determinants of Cgs21680 Binding to the Human Adenosine A2A Receptor.	10.1124/MOL.114.097360	eligible_genuine_partner_free	active_or_active_like	True	Thermostabilised agonist-bound A2A receptor crystal; no intracellular transducer in specimen/model.	https://www.rcsb.org/structure/4UG2	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	4UHR	aa2ar_human	A	X-ray diffraction	2.6		agonist	False		Thermostabilised HUMAN A2a Receptor with CGS21680 bound				Molecular Determinants of Cgs21680 Binding to the Human Adenosine A2A Receptor.	10.1124/MOL.114.097360	eligible_genuine_partner_free	active_or_active_like	True	Thermostabilised agonist-bound A2A receptor crystal; no intracellular transducer in specimen/model.	https://www.rcsb.org/structure/4UHR	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	8UGW	aa2ar_human	A	X-ray diffraction	3.9		agonist	True	endolysin	Computational design of highly signaling active membrane receptors through de novo solvent-mediated allosteric networks				Computational design of highly signalling-active membrane receptors through solvent-mediated allosteric networks.	10.1038/s41557-024-01719-2	eligible_partner_free_but_terminal_fusion	active_or_active_like	True	A2A X-ray monomer with engineered endolysin fusion; no transducer; designed highly signaling-active receptor.	https://www.rcsb.org/structure/8UGW	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	6LW5	fpr2_human	A	X-ray diffraction	2.8		agonist	True	b562	Crystal structure of the human formyl peptide receptor 2 in complex with WKYMVm				Structural basis of ligand binding modes at the human formyl peptide receptor 2.	10.1038/s41467-020-15009-1	eligible_partner_free_but_terminal_fusion	active	True	Active-conformation FPR2 X-ray structure with b562 fusion and extracellular peptide agonist; no intracellular transducer.	https://www.rcsb.org/structure/6LW5	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	4XEE	ntr1_rat	A	X-ray diffraction	2.9		agonist	True	endolysin	Structure of active-like neurotensin receptor				Structural prerequisites for G-protein activation by the neurotensin receptor.	10.1038/ncomms8895	eligible_partner_free_but_terminal_fusion	active_like	True	Active-like rat NTSR1 X-ray structure with endolysin fusion and extracellular neurotensin peptide; no intracellular transducer.	https://www.rcsb.org/structure/4XEE	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	4XES	ntr1_rat	A	X-ray diffraction	2.6		agonist	True	endolysin	Structure of active-like neurotensin receptor				Structural prerequisites for G-protein activation by the neurotensin receptor.	10.1038/ncomms8895	eligible_partner_free_but_terminal_fusion	active_like	True	Active-like rat NTSR1 X-ray structure with endolysin fusion and extracellular neurotensin peptide; no intracellular transducer.	https://www.rcsb.org/structure/4XES	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	6PT3	oprd_human	A	X-ray diffraction	3.3		agonist	False								eligible_genuine_partner_free	active	True	Active DOP crystal with small-molecule agonist DPI-287; no intracellular transducer.	https://www.rcsb.org/structure/6PT3	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	3CAP	opsd_bovin	A	X-ray diffraction	2.9		apo	False		Crystal Structure of Native Opsin: the G Protein-Coupled Receptor Rhodopsin in its Ligand-free State				Crystal structure of the ligand-free G-protein-coupled receptor opsin	10.1038/nature07063	eligible_genuine_partner_free	active_or_active_like	True	Native ligand-free opsin crystal; no intracellular transducer.	https://www.rcsb.org/structure/3CAP	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
