population	pdb_id	receptor_name	chain_id	experimental_method	resolution	original_activation_state	original_ligand_type	fusion_protein	fusion_names	cif_title	emdb_ids	em_sample_name	em_particles	citation_title	citation_doi	provenance_status	state_status	final_eligibility	reason	evidence_url	local_evidence	paired_full_complex_pdb	paired_full_complex_particles	exact_particle_count_match_to_full_complex	paired_full_complex_title	pair_evidence_note
ligand_permissive_58	2YDO	aa2ar_human	A	X-ray diffraction	3.0	active	agonist	False		Thermostabilised HUMAN A2a Receptor with adenosine bound				Agonist-Bound Adenosine A(2A) Receptor Structures Reveal Common Features of Gpcr Activation.; Thermostabilisation of an Agonist-Bound Conformation of the Human Adenosine A(2A) Receptor.	10.1038/NATURE10136; 10.1016/J.JMB.2011.03.075	eligible_genuine_partner_free	active_or_active_like	True	Thermostabilised agonist-bound A2A receptor crystal; no intracellular transducer in specimen/model.	https://www.rcsb.org/structure/2YDO	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	2YDV	aa2ar_human	A	X-ray diffraction	2.6	active	agonist	False		Thermostabilised HUMAN A2a Receptor with NECA bound				Agonist-Bound Adenosine A(2A) Receptor Structures Reveal Common Features of Gpcr Activation.; Thermostabilisation of an Agonist-Bound Conformation of the Human Adenosine A(2A) Receptor.	10.1038/NATURE10136; 10.1016/J.JMB.2011.03.075	eligible_genuine_partner_free	active_or_active_like	True	Thermostabilised agonist-bound A2A receptor crystal; no intracellular transducer in specimen/model.	https://www.rcsb.org/structure/2YDV	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	3CAP	opsd_bovin	A	X-ray diffraction	2.9	active	apo	False		Crystal Structure of Native Opsin: the G Protein-Coupled Receptor Rhodopsin in its Ligand-free State				Crystal structure of the ligand-free G-protein-coupled receptor opsin	10.1038/nature07063	eligible_genuine_partner_free	active_or_active_like	True	Native ligand-free opsin crystal; no intracellular transducer.	https://www.rcsb.org/structure/3CAP	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	3PXO	opsd_bovin	A	X-ray diffraction	3.0	active	agonist	False		Crystal structure of Metarhodopsin II				Crystal structure of metarhodopsin II.	10.1038/nature09789	eligible_genuine_partner_free	active_or_active_like	True	Metarhodopsin II-alone crystal; related peptide-bound structure is a separate PDB entry.	https://www.rcsb.org/structure/3PXO	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	4BEZ	opsd_bovin	A	X-ray diffraction	3.3	active	apo	False		Night blindness causing G90D rhodopsin in the active conformation				Insights Into Congenital Stationary Night Blindness Based on the Structure of G90D Rhodopsin.	10.1038/EMBOR.2013.44	eligible_genuine_partner_free	active_or_active_like	True	G90D rhodopsin active-conformation crystal; no intracellular transducer.	https://www.rcsb.org/structure/4BEZ	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	4UG2	aa2ar_human	A	X-ray diffraction	2.6	active	agonist	False		Thermostabilised HUMAN A2a Receptor with CGS21680 bound				Molecular Determinants of Cgs21680 Binding to the Human Adenosine A2A Receptor.	10.1124/MOL.114.097360	eligible_genuine_partner_free	active_or_active_like	True	Thermostabilised agonist-bound A2A receptor crystal; no intracellular transducer in specimen/model.	https://www.rcsb.org/structure/4UG2	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	4UHR	aa2ar_human	A	X-ray diffraction	2.6	active	agonist	False		Thermostabilised HUMAN A2a Receptor with CGS21680 bound				Molecular Determinants of Cgs21680 Binding to the Human Adenosine A2A Receptor.	10.1124/MOL.114.097360	eligible_genuine_partner_free	active_or_active_like	True	Thermostabilised agonist-bound A2A receptor crystal; no intracellular transducer in specimen/model.	https://www.rcsb.org/structure/4UHR	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	4XT3	us28_hcmva	A	X-ray diffraction	3.8	active	agonist	False		Structure of a viral GPCR bound to human chemokine CX3CL1				Structural biology. Structural basis for chemokine recognition and activation of a viral G protein-coupled receptor.	10.1126/science.aaa5026	eligible_genuine_partner_free_ligand_permissive	active_like	True	US28 crystal bound to extracellular chemokine CX3CL1; active-state-like receptor, no intracellular transducer.	https://www.rcsb.org/structure/4XT3	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	5DYS	opsd_bovin	A	X-ray diffraction	2.3	active	agonist	False		Crystal Structure of T94I rhodopsin mutant				Structural role of the T94I rhodopsin mutation in congenital stationary night blindness.	10.15252/embr.201642671	eligible_genuine_partner_free	active_or_active_like	True	T94I rhodopsin crystal; no intracellular transducer.	https://www.rcsb.org/structure/5DYS	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
ligand_permissive_58	5TE3	opsd_bovin	A	X-ray diffraction	2.7	active	unknown	False		Crystal structure of Bos taurus opsin at 2.7 Angstrom				Photocyclic behavior of rhodopsin induced by an atypical isomerization mechanism.	10.1073/pnas.1617446114	eligible_genuine_partner_free	active_or_active_like	True	Opsin crystal; no intracellular transducer.	https://www.rcsb.org/structure/5TE3	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
