population	pdb_id	receptor_name	chain_id	experimental_method	resolution	original_activation_state	original_ligand_type	fusion_protein	fusion_names	cif_title	emdb_ids	em_sample_name	em_particles	citation_title	citation_doi	provenance_status	state_status	final_eligibility	reason	evidence_url	local_evidence	paired_full_complex_pdb	paired_full_complex_particles	exact_particle_count_match_to_full_complex	paired_full_complex_title	pair_evidence_note
terminal_ligand_permissive_P1_59	2YDO	aa2ar_human	A	X-ray diffraction	3.0		agonist	False		Thermostabilised HUMAN A2a Receptor with adenosine bound				Agonist-Bound Adenosine A(2A) Receptor Structures Reveal Common Features of Gpcr Activation.; Thermostabilisation of an Agonist-Bound Conformation of the Human Adenosine A(2A) Receptor.	10.1038/NATURE10136; 10.1016/J.JMB.2011.03.075	eligible_genuine_partner_free	active_or_active_like	True	Thermostabilised agonist-bound A2A receptor crystal; no intracellular transducer in specimen/model.	https://www.rcsb.org/structure/2YDO	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	2YDV	aa2ar_human	A	X-ray diffraction	2.6		agonist	False		Thermostabilised HUMAN A2a Receptor with NECA bound				Agonist-Bound Adenosine A(2A) Receptor Structures Reveal Common Features of Gpcr Activation.; Thermostabilisation of an Agonist-Bound Conformation of the Human Adenosine A(2A) Receptor.	10.1038/NATURE10136; 10.1016/J.JMB.2011.03.075	eligible_genuine_partner_free	active_or_active_like	True	Thermostabilised agonist-bound A2A receptor crystal; no intracellular transducer in specimen/model.	https://www.rcsb.org/structure/2YDV	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	4UG2	aa2ar_human	A	X-ray diffraction	2.6		agonist	False		Thermostabilised HUMAN A2a Receptor with CGS21680 bound				Molecular Determinants of Cgs21680 Binding to the Human Adenosine A2A Receptor.	10.1124/MOL.114.097360	eligible_genuine_partner_free	active_or_active_like	True	Thermostabilised agonist-bound A2A receptor crystal; no intracellular transducer in specimen/model.	https://www.rcsb.org/structure/4UG2	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	4UHR	aa2ar_human	A	X-ray diffraction	2.6		agonist	False		Thermostabilised HUMAN A2a Receptor with CGS21680 bound				Molecular Determinants of Cgs21680 Binding to the Human Adenosine A2A Receptor.	10.1124/MOL.114.097360	eligible_genuine_partner_free	active_or_active_like	True	Thermostabilised agonist-bound A2A receptor crystal; no intracellular transducer in specimen/model.	https://www.rcsb.org/structure/4UHR	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	8UGW	aa2ar_human	A	X-ray diffraction	3.9		agonist	True	endolysin	Computational design of highly signaling active membrane receptors through de novo solvent-mediated allosteric networks				Computational design of highly signalling-active membrane receptors through solvent-mediated allosteric networks.	10.1038/s41557-024-01719-2	eligible_partner_free_but_terminal_fusion	active_or_active_like	True	A2A X-ray monomer with engineered endolysin fusion; no transducer; designed highly signaling-active receptor.	https://www.rcsb.org/structure/8UGW	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	8EA0	acm3_human	A	Electron microscopy	2.56		agonist	False		CryoEM structure of miniGq-coupled hM3R in complex with iperoxo (local refinement)	EMD-27970	hM3R	591814	Molecular basis for selective activation of DREADD-based chemogenetics.	10.1038/s41586-022-05489-0	exclude_transducer_conditioned_focus	active	False	PDB title explicitly identifies miniGq-coupled M3 receptor local refinement.	https://www.rcsb.org/structure/8EA0	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	8GGI	adrb2_human	R	Electron microscopy	3.5		agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #1 of 20)	EMD-40009	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	51197	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGI	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	8GGJ	adrb2_human	R	Electron microscopy	3.5		agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #2 of 20)	EMD-40010	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	51197	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGJ	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	8GGK	adrb2_human	R	Electron microscopy	3.3		agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #3 of 20)	EMD-40011	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	99517	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGK	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
terminal_ligand_permissive_P1_59	8GGL	adrb2_human	R	Electron microscopy	3.2		agonist	False		Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #4 of 20)	EMD-40012	Complex of beta-2 adrenergic receptor and Gs heterotrimer with GTP	129936	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1	exclude_transducer_conditioned_focus	active	False	PDB title explicitly states locally refined receptor from beta2AR-Gs complex transition intermediate.	https://www.rcsb.org/structure/8GGL	Deposited mmCIF _struct.title/_em_entity_assembly.name/_em_3d_reconstruction.num_particles where available					
