pdb_id	has_cif	title	keywords	method	emdb_ids	citation_title	citation_doi
2YDO	True	Thermostabilised HUMAN A2a Receptor with adenosine bound	RECEPTOR, G PROTEIN COUPLED RECEPTOR, SEVEN-HELIX RECEPTOR, AGONIST BOUND FORM, THERMOSTABILISING POINT MUTATIONS, GPCR, 7TM RECEPTOR	X-RAY DIFFRACTION	PDB; PDBE; WWPDB | 2YDO; EBI-47787; D_1290047787	Agonist-Bound Adenosine A(2A) Receptor Structures Reveal Common Features of Gpcr Activation.; Thermostabilisation of an Agonist-Bound Conformation of the Human Adenosine A(2A) Receptor.	10.1038/NATURE10136; 10.1016/J.JMB.2011.03.075
2YDV	True	Thermostabilised HUMAN A2a Receptor with NECA bound	RECEPTOR, G PROTEIN COUPLED RECEPTOR, SEVEN-HELIX RECEPTOR, AGONIST BOUND FORM, THERMOSTABILISING POINT MUTATIONS, GPCR, 7TM RECEPTOR	X-RAY DIFFRACTION	PDB; PDBE; WWPDB | 2YDV; EBI-47810; D_1290047810	Agonist-Bound Adenosine A(2A) Receptor Structures Reveal Common Features of Gpcr Activation.; Thermostabilisation of an Agonist-Bound Conformation of the Human Adenosine A(2A) Receptor.	10.1038/NATURE10136; 10.1016/J.JMB.2011.03.075
3CAP	True	Crystal Structure of Native Opsin: the G Protein-Coupled Receptor Rhodopsin in its Ligand-free State	G PROTEIN-COUPLED RECEPTOR, OPSIN, RHODOPSIN, MEMBRANE PROTEIN, RETINAL PROTEIN, PHOTORECEPTOR, LIGAND-FREE STATE, Chromophore, G-protein coupled receptor, Glycoprotein, Lipoprotein, Palmitate, Phosphoprotein, Photoreceptor protein, Sensory transduction, Transducer, Transmembrane, Vision, SIGNALING PROTEIN	X-RAY DIFFRACTION	PDB; RCSB; WWPDB | 3CAP; RCSB046549; D_1000046549	Crystal structure of the ligand-free G-protein-coupled receptor opsin	10.1038/nature07063
3PXO	True	Crystal structure of Metarhodopsin II	protein, retinal protein, photoreceptor, active state, chromophore, G-protein coupled receptor, glycoprotein, lipoprotein, palmitate, phosphoprotein, photoreceptor protein, sensory transduction, transducer, transmembrane, vision, signaling protein, G-protein, transducin, Galpha subunit, membrane, receptor, GTP-binding, myristate, nucleotide-binding, G-protein-coupled receptor, rhodopsin, opsin	X-RAY DIFFRACTION	PDB; RCSB; WWPDB | 3PXO; RCSB062939; D_1000062939	Crystal structure of metarhodopsin II.	10.1038/nature09789
4BEZ	True	Night blindness causing G90D rhodopsin in the active conformation	MEMBRANE PROTEIN, GPCR, DISEASE MUTANT, CONGENTIAL STATIONARY NIGHT BLINDNESS, ACTIVE STATE	X-RAY DIFFRACTION	PDB; PDBE; WWPDB | 4BEZ; EBI-56128; D_1290056128	Insights Into Congenital Stationary Night Blindness Based on the Structure of G90D Rhodopsin.	10.1038/EMBOR.2013.44
4UG2	True	Thermostabilised HUMAN A2a Receptor with CGS21680 bound	SIGNALING PROTEIN, G SEVEN-HELIX RECEPTOR, INTEGRAL MEMBRANE PROTEIN, AGONIST BOUND FORM, THERMOSTABILISING POINT MUTATIONS, GPCR, 7TM RECEPTOR	X-RAY DIFFRACTION	PDB; PDBE; WWPDB | 4UG2; EBI-63420; D_1290063420	Molecular Determinants of Cgs21680 Binding to the Human Adenosine A2A Receptor.	10.1124/MOL.114.097360
4UHR	True	Thermostabilised HUMAN A2a Receptor with CGS21680 bound	SIGNALING PROTEIN, SIGANLING PROTEIN, G PROTEIN COUPLED RECEPTOR, SEVEN-HELIX RECEPTOR, INTEGRAL MEMBRANE PROTEIN, AGONIST BOUND FORM, THERMOSTABILISING POINT MUTATIONS, GPCR, 7TM RECEPTOR	X-RAY DIFFRACTION	PDB; PDBE; WWPDB | 4UHR; EBI-63446; D_1290063446	Molecular Determinants of Cgs21680 Binding to the Human Adenosine A2A Receptor.	10.1124/MOL.114.097360
4XT3	True	Structure of a viral GPCR bound to human chemokine CX3CL1	GPCR, chemokine, membrane protein, complex, VIRAL PROTEIN-CYTOKINE complex, VIRAL PROTEIN-SIGNALLING PROTEIN complex	X-RAY DIFFRACTION	PDB; WWPDB | 4XT3; D_1000206266	Structural biology. Structural basis for chemokine recognition and activation of a viral G protein-coupled receptor.	10.1126/science.aaa5026
5DYS	True	Crystal Structure of T94I rhodopsin mutant	Rhodopsin, G protein-coupled receptors, Congenital stationary night blindness, constitutive activity, signaling protein	X-RAY DIFFRACTION	PDB; WWPDB | 5DYS; D_1000214027	Structural role of the T94I rhodopsin mutation in congenital stationary night blindness.	10.15252/embr.201642671
5TE3	True	Crystal structure of Bos taurus opsin at 2.7 Angstrom	SIGNALING PROTEIN	X-RAY DIFFRACTION	PDB; WWPDB | 5TE3; D_1000224090	Photocyclic behavior of rhodopsin induced by an atypical isomerization mechanism.	10.1073/pnas.1617446114
6AK3	True	Crystal structure of the human prostaglandin E receptor EP3 bound to prostaglandin E2	GPCR, lipid, signaling protein, prostanoid receptor, MEMBRANE PROTEIN	X-RAY DIFFRACTION	PDB; WWPDB | 6AK3; D_1300008457	Crystal structure of the endogenous agonist-bound prostanoid receptor EP3.	10.1038/s41589-018-0171-8
6FK6	True	Crystal structure of N2C/D282C stabilized opsin bound to RS01	RHODOPSIN, G PROTEIN-COUPLED RECEPTORS, RETINITIS PIGMENTOSA, SIGNALING PROTEIN, SENSORY TRANSDUCTION, PHOTORECEPTOR PROTEIN, KINTEGRAL MEMBRANE PROTEIN, VISION, MEMBRANE, RECEPTOR, TRANSDUCER PHOTORECEPTOR, SMALL MOLECULE COMPLEX, MEMBRANE PROTEIN	X-RAY DIFFRACTION	PDB; WWPDB | 6FK6; D_1200008386	Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115
6FK7	True	Crystal structure of N2C/D282C stabilized opsin bound to RS06	RHODOPSIN, G PROTEIN-COUPLED RECEPTORS, RETINITIS PIGMENTOSA, SIGNALING PROTEIN, SENSORY TRANSDUCTION, PHOTORECEPTOR PROTEIN, KINTEGRAL MEMBRANE PROTEIN, VISION, MEMBRANE, RECEPTOR, TRANSDUCER PHOTORECEPTOR, SMALL MOLECULE COMPLEX, MEMBRANE PROTEIN	X-RAY DIFFRACTION	PDB; WWPDB | 6FK7; D_1200008388	Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115
6FK8	True	Crystal structure of N2C/D282C stabilized opsin bound to RS08	RHODOPSIN, G PROTEIN-COUPLED RECEPTORS, RETINITIS PIGMENTOSA, SIGNALING PROTEIN, SENSORY TRANSDUCTION, PHOTORECEPTOR PROTEIN, KINTEGRAL MEMBRANE PROTEIN, VISION, MEMBRANE, RECEPTOR, TRANSDUCER PHOTORECEPTOR, SMALL MOLECULE COMPLEX, MEMBRANE PROTEIN	X-RAY DIFFRACTION	PDB; WWPDB | 6FK8; D_1200008389	Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115
6FK9	True	Crystal structure of N2C/D282C stabilized opsin bound to RS09	RHODOPSIN, G PROTEIN-COUPLED RECEPTORS, RETINITIS PIGMENTOSA, SIGNALING PROTEIN, SENSORY TRANSDUCTION, PHOTORECEPTOR PROTEIN, KINTEGRAL MEMBRANE PROTEIN, VISION, MEMBRANE, RECEPTOR, TRANSDUCER PHOTORECEPTOR, SMALL MOLECULE COMPLEX, MEMBRANE PROTEIN	X-RAY DIFFRACTION	PDB; WWPDB | 6FK9; D_1200008391	Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115
6FKA	True	Crystal structure of N2C/D282C stabilized opsin bound to RS11	RHODOPSIN, G PROTEIN-COUPLED RECEPTORS, RETINITIS PIGMENTOSA, SIGNALING PROTEIN, SENSORY TRANSDUCTION, PHOTORECEPTOR PROTEIN, KINTEGRAL MEMBRANE PROTEIN, VISION, MEMBRANE, RECEPTOR, TRANSDUCER PHOTORECEPTOR, SMALL MOLECULE COMPLEX, MEMBRANE PROTEIN	X-RAY DIFFRACTION	PDB; WWPDB | 6FKA; D_1200008392	Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115
6FKB	True	Crystal structure of N2C/D282C stabilized opsin bound to RS13	RHODOPSIN, G PROTEIN-COUPLED RECEPTORS, RETINITIS PIGMENTOSA, SIGNALING PROTEIN, SENSORY TRANSDUCTION, PHOTORECEPTOR PROTEIN, KINTEGRAL MEMBRANE PROTEIN, VISION, MEMBRANE, RECEPTOR, TRANSDUCER PHOTORECEPTOR, SMALL MOLECULE COMPLEX, MEMBRANE PROTEIN	X-RAY DIFFRACTION	PDB; WWPDB | 6FKB; D_1200008393	Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115
6FKC	True	Crystal structure of N2C/D282C stabilized opsin bound to RS15	RHODOPSIN, G PROTEIN-COUPLED RECEPTORS, RETINITIS PIGMENTOSA, SIGNALING PROTEIN, SENSORY TRANSDUCTION, PHOTORECEPTOR PROTEIN, KINTEGRAL MEMBRANE PROTEIN, VISION, MEMBRANE, RECEPTOR, TRANSDUCER PHOTORECEPTOR, SMALL MOLECULE COMPLEX, MEMBRANE PROTEIN	X-RAY DIFFRACTION	PDB; WWPDB | 6FKC; D_1200008394	Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115
6FKD	True	Crystal structure of N2C/D282C stabilized opsin bound to RS16	RHODOPSIN, G PROTEIN-COUPLED RECEPTORS, RETINITIS PIGMENTOSA, SIGNALING PROTEIN, SENSORY TRANSDUCTION, PHOTORECEPTOR PROTEIN, KINTEGRAL MEMBRANE PROTEIN, VISION, MEMBRANE, RECEPTOR, TRANSDUCER PHOTORECEPTOR, SMALL MOLECULE COMPLEX, MEMBRANE PROTEIN	X-RAY DIFFRACTION	PDB; WWPDB | 6FKD; D_1200008395	Ligand channel in pharmacologically stabilized rhodopsin.	10.1073/pnas.1718084115
6PT2	False				 | 		
6PT3	False				 | 		
7VV0	True	Cryo-EM structure of pseudoallergen receptor MRGPRX2 complex with PAMP-12, local	G Protein-Coupled Receptor, MEMBRANE PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 7VV0; D_1300025439; EMD-32133	Structure, function and pharmacology of human itch receptor complexes.	10.1038/s41586-021-04077-y
7VV4	True	Cryo-EM structure of pseudoallergen receptor MRGPRX2 complex with linear cortistatin-14, local	G Protein-Coupled Receptor, MEMBRANE PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 7VV4; D_1300025445; EMD-32137	Structure, function and pharmacology of human itch receptor complexes.	10.1038/s41586-021-04077-y
7VV6	True	Cryo-EM structure of pseudoallergen receptor MRGPRX2 complex with C48/80 (local)	G Protein-Coupled Receptor, MEMBRANE PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 7VV6; D_1300025428; EMD-32139	Structure, function and pharmacology of human itch receptor complexes.	10.1038/s41586-021-04077-y
7YU4	True	Human Lysophosphatidic Acid Receptor 1-Gi complex bound to ONO-0740556, focused on receptor	GPCR, MEMBRANE PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 7YU4; D_1300031581; EMD-34098	Structure of the active G i -coupled human lysophosphatidic acid receptor 1 complexed with a potent agonist.	10.1038/s41467-022-33121-2
7ZL9	True	Crystal structure of human GPCR Niacin receptor (HCA2)	Niacin receptor, hydroxycarboxylic acid receptor 2, HCA2, GPCR, membrane protein structure, MEMBRANE PROTEIN	X-RAY DIFFRACTION	PDB; WWPDB | 7ZL9; D_1292122373	Structural insights into the human niacin receptor HCA2-G i signalling complex.	10.1038/s41467-023-37177-6
8EA0	True	CryoEM structure of miniGq-coupled hM3R in complex with iperoxo (local refinement)	GPCR, IXO, active state, MEMBRANE PROTEIN, hM3R, Iperoxo	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8EA0; D_1000266370; EMD-27970	Molecular basis for selective activation of DREADD-based chemogenetics.	10.1038/s41586-022-05489-0
8GGI	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #1 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGI; D_1000272746; EMD-40009	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGJ	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #2 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGJ; D_1000272747; EMD-40010	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGK	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #3 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGK; D_1000272748; EMD-40011	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGL	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #4 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGL; D_1000272749; EMD-40012	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGM	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #5 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGM; D_1000272750; EMD-40013	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGN	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #6 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGN; D_1000272751; EMD-40014	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGO	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #7 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGO; D_1000272752; EMD-40015	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGP	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #8 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGP; D_1000272753; EMD-40016	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGQ	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #9 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGQ; D_1000272754; EMD-40017	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGR	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #10 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGR; D_1000272755; EMD-40018	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGS	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #11 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGS; D_1000272756; EMD-40019	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGT	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #12 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGT; D_1000272757; EMD-40020	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGU	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #13 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGU; D_1000272758; EMD-40021	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGV	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #14 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGV; D_1000272759; EMD-40022	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGW	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #15 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGW; D_1000272760; EMD-40023	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGX	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #16 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGX; D_1000272761; EMD-40024	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGY	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #17 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGY; D_1000272762; EMD-40025	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GGZ	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #18 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GGZ; D_1000272763; EMD-40026	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GH0	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #19 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GH0; D_1000272764; EMD-40027	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
8GH1	True	Locally refined cryoEM structure of receptor from beta-2-adrenergic receptor in complex with GTP-bound Gs heterotrimer (transition intermediate #20 of 20)	GPCR, Adrenergic, Receptor, G protein, SIGNALING PROTEIN	ELECTRON MICROSCOPY	PDB; WWPDB; EMDB | 8GH1; D_1000272765; EMD-40028	Time-resolved cryo-EM of G-protein activation by a GPCR.	10.1038/s41586-024-07153-1
