converged	fold	group_overlap	n_iter	status	test_n	train_n	experiment	validation	task_id	chosen_k	test_groups	train_groups	best_parameters	max_iter	n_categorical_features	n_numeric_features
True	0	0	68.0	ok	42	165	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__000__receptor							
True	1	0	57.0	ok	42	165	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__000__receptor							
True	2	0	67.0	ok	39	168	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__000__receptor							
True	3	0	61.0	ok	42	165	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__000__receptor							
True	4	0	56.0	ok	42	165	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__000__receptor							
True	0	0	31.0	ok	196	11	matched_noninterface_control	sequence_cluster_30_grouped_5fold	control_noninterface__000__seq30							
True	1	0	73.0	ok	11	196	matched_noninterface_control	sequence_cluster_30_grouped_5fold	control_noninterface__000__seq30							
True	0	0	61.0	ok	40	167	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__001__receptor							
True	1	0	67.0	ok	42	165	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__001__receptor							
True	2	0	57.0	ok	42	165	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__001__receptor							
True	3	0	37.0	ok	42	165	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__001__receptor							
True	4	0	61.0	ok	41	166	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__001__receptor							
True	0	0	31.0	ok	196	11	matched_noninterface_control	sequence_cluster_30_grouped_5fold	control_noninterface__001__seq30							
True	1	0	73.0	ok	11	196	matched_noninterface_control	sequence_cluster_30_grouped_5fold	control_noninterface__001__seq30							
True	0	0	58.0	ok	42	165	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__002__receptor							
True	1	0	56.0	ok	42	165	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__002__receptor							
True	2	0	69.0	ok	42	165	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__002__receptor							
True	3	0	63.0	ok	40	167	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__002__receptor							
True	4	0	51.0	ok	41	166	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__002__receptor							
True	0	0	31.0	ok	196	11	matched_noninterface_control	sequence_cluster_30_grouped_5fold	control_noninterface__002__seq30							
True	1	0	73.0	ok	11	196	matched_noninterface_control	sequence_cluster_30_grouped_5fold	control_noninterface__002__seq30							
True	0	0	62.0	ok	42	165	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__003__receptor							
True	1	0	57.0	ok	42	165	matched_noninterface_control	receptor_grouped_5fold	control_noninterface__003__receptor							
