comparison	candidate_model	reference_model	validation	n_rows	n_receptors	auc_difference	auc_difference_ci_low	auc_difference_ci_high	log_loss_difference	log_loss_difference_ci_low	log_loss_difference_ci_high
interface_sequence_minus_coarse_taxonomy	interface_sequence	coarse_taxonomy	receptor_grouped_5fold	207	169	0.18455001919700642	0.11210724730900991	0.25577689877870247	-0.11997006382559705	-0.2780292865435366	0.033109956198947466
interface_sequence_minus_global_identity_knn	interface_sequence	global_identity_knn	receptor_grouped_5fold	207	169	-0.022663780029252067	-0.0626678879370959	0.0193246587436688	0.11282526462754483	-0.028282472420377174	0.25529332105342784
interface_sequence_minus_noninterface_sequence	interface_sequence	noninterface_sequence	receptor_grouped_5fold	207	169	0.041865371907260696	-0.004719928623248293	0.08967564157241617	0.04847454172757226	-0.0737600817300216	0.17904447448316013
interface_plus_taxonomy_minus_coarse_taxonomy	interface_plus_taxonomy	coarse_taxonomy	receptor_grouped_5fold	207	169	0.2063399026567193	0.14394333142130802	0.2665925198953631	-0.2535788660789434	-0.353694253341305	-0.15148828781669552
full_sequence_minus_endpoint_geometry	full_sequence	endpoint_geometry	receptor_grouped_5fold	207	169	0.014205639693448902	-0.03661061912198361	0.06462182544290343	-0.06166027936366281	-0.16765955761023377	0.04284810689081688
sequence_plus_geometry_minus_full_sequence	sequence_plus_geometry	full_sequence	receptor_grouped_5fold	207	169	0.025494357274458257	-0.012718918995919407	0.06440057815866486	-0.03727869012837315	-0.09877124589715933	0.030177662230079942
full_sequence_minus_interface_sequence	full_sequence	interface_sequence	receptor_grouped_5fold	207	169	0.010881177626013261	-0.014390998168467858	0.03581247355472286	-0.13307357883123883	-0.2433979591244049	-0.028680410433121615
interface_sequence_minus_coarse_taxonomy	interface_sequence	coarse_taxonomy	sequence_cluster_30_grouped_5fold	207	169	0.09832493310886503	0.028195594439600652	0.16728691544747382	-0.0008925591658222043	-0.03759489975182467	0.0458345288329431
interface_sequence_minus_global_identity_knn	interface_sequence	global_identity_knn	sequence_cluster_30_grouped_5fold	207	169	0.002480303858700683	-0.05155717273100743	0.05463973585380766	-0.161496639846338	-0.2683842818926943	-0.06459864595756751
interface_sequence_minus_noninterface_sequence	interface_sequence	noninterface_sequence	sequence_cluster_30_grouped_5fold	207	169	-0.004114709986322129	-0.06833283501664947	0.06184147533836921	-0.32085310433631564	-0.47642593994579135	-0.16149820766373432
interface_plus_taxonomy_minus_coarse_taxonomy	interface_plus_taxonomy	coarse_taxonomy	sequence_cluster_30_grouped_5fold	207	169	0.08386096043806124	0.02858646957549917	0.14542360388218606	-0.008704968466455743	-0.036699554201513135	0.02241424871792541
full_sequence_minus_endpoint_geometry	full_sequence	endpoint_geometry	sequence_cluster_30_grouped_5fold	207	169	0.022226772282266216	-0.06106860820362402	0.10070130099058346	-0.019797673911373437	-0.08697967601877592	0.04616678419224327
sequence_plus_geometry_minus_full_sequence	sequence_plus_geometry	full_sequence	sequence_cluster_30_grouped_5fold	207	169	-0.030276658023605796	-0.10177144448407831	0.04741763103393071	0.5422671701368289	0.3578499078091601	0.7320021335298156
full_sequence_minus_interface_sequence	full_sequence	interface_sequence	sequence_cluster_30_grouped_5fold	207	169	-0.012830755390098147	-0.05350775272052832	0.02721990355031695	-0.01647572016292842	-0.06911683401714944	0.0328289966510118
interface_sequence_minus_coarse_taxonomy	interface_sequence	coarse_taxonomy	sequence_cluster_40_grouped_5fold	207	169	0.11152474300410281	0.04164207852300106	0.1800746434446841	-0.17265066583546718	-0.31696305905240096	-0.023113013993394126
interface_sequence_minus_global_identity_knn	interface_sequence	global_identity_knn	sequence_cluster_40_grouped_5fold	207	169	0.05791984801776784	-0.008214927064530229	0.12961333160403393	-0.8588794732272476	-1.1550351122105789	-0.5848206893062438
interface_sequence_minus_noninterface_sequence	interface_sequence	noninterface_sequence	sequence_cluster_40_grouped_5fold	207	169	0.051766474441996224	-0.020050402929548954	0.12277502880845985	0.053077100429789636	-0.05378649257658648	0.1721275890628598
interface_plus_taxonomy_minus_coarse_taxonomy	interface_plus_taxonomy	coarse_taxonomy	sequence_cluster_40_grouped_5fold	207	169	0.14720484067625234	0.08858281948479732	0.20636930803004236	-0.3193724079971214	-0.44796260577089797	-0.20284825505430296
full_sequence_minus_endpoint_geometry	full_sequence	endpoint_geometry	sequence_cluster_40_grouped_5fold	207	169	-0.07048766632293901	-0.14108802006426271	0.004297095041967442	0.1885666548710867	0.02474717644333537	0.35212244209582527
sequence_plus_geometry_minus_full_sequence	sequence_plus_geometry	full_sequence	sequence_cluster_40_grouped_5fold	207	169	0.07106060754426369	0.0006083937973796641	0.13784904298511977	-0.22464351248371373	-0.3691264612767068	-0.08278939731925629
full_sequence_minus_interface_sequence	full_sequence	interface_sequence	sequence_cluster_40_grouped_5fold	207	169	0.0021519957254445554	-0.049702080169307425	0.05764656300628606	0.035675768691810106	-0.10845437870425494	0.1772028657617192
interface_sequence_minus_coarse_taxonomy	interface_sequence	coarse_taxonomy	sequence_cluster_50_grouped_5fold	207	169	0.09721759287922327	0.01872159835358627	0.17147243144174923	0.0659039729597306	-0.12538105756770385	0.2685483502345335
interface_sequence_minus_global_identity_knn	interface_sequence	global_identity_knn	sequence_cluster_50_grouped_5fold	207	169	0.07860468068391169	0.018842599511826284	0.14099819977948902	-0.16703223950445323	-0.36712611189912275	0.03404791066368131
interface_sequence_minus_noninterface_sequence	interface_sequence	noninterface_sequence	sequence_cluster_50_grouped_5fold	207	169	0.09373192770045724	0.032941710392901245	0.1562191610845547	0.042210110154410785	-0.098744704498241	0.2005638247427424
