receptor,bound,ronly,delta
aa2ar_human,0.8013888888888889,0.6680555555555556,0.1333333333333333
acm3_human,0.8434343434343434,0.5930555555555556,0.25037878787878787
adrb2_human,0.8013888888888889,0.6375,0.16388888888888897
gp101_human,0.7694444444444444,0.5986111111111111,0.17083333333333328
gpr34_human,0.7694444444444444,0.5912037037037038,0.1782407407407406
hcar2_human,0.7694444444444444,0.5680555555555556,0.20138888888888873
lpar1_human,0.7944444444444444,0.6027777777777777,0.19166666666666665
mrgx2_human,0.8138888888888888,0.6083333333333334,0.20555555555555538
oprd_human,0.8018518518518518,0.6717592592592592,0.13009259259259265
opsd_bovin,0.8018518518518518,0.6236111111111111,0.1782407407407407
taar1_mouse,0.7912698412698412,0.6322751322751322,0.15899470899470902
taar9_mouse,0.8013888888888889,0.623611111111111,0.17777777777777792
