experiment,status,n_train_units,n_train_receptors,n_test_units,n_test_receptors,n_numeric_features,n_categorical_features,best_parameters,converged,macro_roc_auc,macro_pr_auc,balanced_accuracy,log_loss,matthews_correlation,macro_roc_auc_ci_low,macro_roc_auc_ci_high,macro_pr_auc_ci_low,macro_pr_auc_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,log_loss_ci_low,log_loss_ci_high,matthews_correlation_ci_low,matthews_correlation_ci_high,permutation_iterations,permutation_null_mean,permutation_null_95th,permutation_p_upper,model,model_display,cutoff_year,test_mode,feature_signature,historical_year_max,future_year_min
geometry_fixed,ok,103,90,96,79,65,1,"{""inner_macro_auc"": 0.7726656533308579, ""model__C"": 0.5, ""model__l1_ratio"": 0.25}",True,0.7033818726787859,0.5307617330683064,0.5148260766427293,1.349604934278596,0.302991872026816,0.6303610900034733,0.7776475691030763,0.4668426718530026,0.634178924081052,0.4241964934425927,0.6072170826870709,1.037260005932336,1.6485144973168713,0.1635509069974189,0.4477809872508617,1000,0.4935355425399241,0.5581884465868248,0.0009990009990009,geometry_fixed,Fixed endpoint geometry,2023,new,03bf09ffef6d6be198dbbd1ecdf4b5b659e45ef6642a65913d6ba36bbbfc1a3b,2022,2023
sequence_fixed,ok,103,90,96,79,0,62,"{""inner_macro_auc"": 0.7168831278950326, ""model__C"": 0.1, ""model__l1_ratio"": 0.25}",True,0.7210501901180133,0.6014803861717055,0.564857346186194,0.9537747294286302,0.368305443302414,0.6507113530092633,0.7870700871484111,0.5316852982420317,0.6848609398063442,0.4755879828420396,0.6558447526189461,0.898289651254277,1.0047759495257114,0.2247579896837306,0.5091788134484734,1000,0.5067838363241226,0.5723465812094002,0.0009990009990009,sequence_fixed,Fixed sequence only,2023,new,f01ba85604d2a5c02cb18a17b0e3dada9868b887d2df1d6e615567f0a821b283,2022,2023
missingness_fixed,ok,103,90,96,79,39,1,"{""inner_macro_auc"": 0.6777945690946944, ""model__C"": 0.5, ""model__l1_ratio"": 1.0}",True,0.6745400120175739,0.5187982213295115,0.4510901209807854,1.0062034728713396,0.185969810128757,0.5927486646239588,0.7531192820407712,0.4424864585439235,0.6285338692700284,0.3541076689430251,0.5530811395413596,0.8932854306293758,1.1167857758074051,0.0402210069689258,0.3340168559215688,1000,0.5160614215145202,0.5816810935947799,0.0009990009990009,missingness_fixed,Fixed geometry missingness,2023,new,9c14e1218749ead9ba88b7208a7a0b9fc2fc432e21c1ce3e6b149ce5a636bd76,2022,2023
metadata_no_year,ok,103,90,96,79,5,3,"{""inner_macro_auc"": 0.5303834287251162, ""model__C"": 0.5, ""model__l1_ratio"": 0.5}",True,0.5266580223395182,0.3757847647112625,0.3554700135860775,1.111269956650963,0.0287805433905787,0.4530516485847786,0.6058606919282193,0.3335041720937485,0.4591001673533729,0.2701182332064685,0.4459081272007231,1.063720359682227,1.1584597075540122,-0.0994438490610142,0.1682758771629576,1000,0.5133519127727357,0.5740250888504941,0.3746253746253746,metadata_no_year,Metadata only (year excluded),2023,new,8ceb5fdbf6032a3d6c9626b0d30babcf2f0801f83b168453f84bd8bb590ffc1a,2022,2023
geometry_plus_metadata_no_year,ok,103,90,96,79,70,4,"{""inner_macro_auc"": 0.7442449649425423, ""model__C"": 1.0, ""model__l1_ratio"": 0.25}",True,0.7175172914236218,0.5348405090852572,0.532337020982942,1.5962058141277824,0.3199714584989487,0.641094641617175,0.7940105046587465,0.4639167382123076,0.6506543391841604,0.4349586311554924,0.6389850078931696,1.1769168049005934,2.0487550815723288,0.1724111488898923,0.4769768208147802,1000,0.494963368001643,0.5570427116807807,0.0009990009990009,geometry_plus_metadata_no_year,Geometry + metadata (year excluded),2023,new,fd2f4aea8f815db8631f20f18a7ac7eb19573e24e91f0d68d428ff8be4d8b2d0,2022,2023
geometry_fixed,ok,156,134,41,35,65,1,"{""inner_macro_auc"": 0.7176316228880332, ""model__C"": 0.1, ""model__l1_ratio"": 0.5}",True,0.7440058479532162,0.5955665687034326,0.5265151515151515,0.8950709372714313,0.2436874047450489,0.6424364522268277,0.8513146742170442,0.5093275786924439,0.7753853690877699,0.3587265512265512,0.7051527176527176,0.7591677437183163,1.032792288537742,-0.00536887472116,0.4939875191594579,1000,0.5230381844763424,0.6498205741626794,0.0009990009990009,geometry_fixed,Fixed endpoint geometry,2024,new,03bf09ffef6d6be198dbbd1ecdf4b5b659e45ef6642a65913d6ba36bbbfc1a3b,2023,2024
sequence_fixed,ok,156,134,41,35,0,62,"{""inner_macro_auc"": 0.8148045830479479, ""model__C"": 0.5, ""model__l1_ratio"": 0.25}",True,0.7395401382243488,0.6109902774705617,0.5303030303030303,0.817212264681677,0.3096647568107677,0.6274694284113167,0.8426080335586863,0.4940448441482296,0.7662484852620766,0.3792613636363636,0.686691142191142,0.6701744405790286,0.9501170458209778,0.0361536264283362,0.5485393881932351,1000,0.4963214114832536,0.6088523391812863,0.0009990009990009,sequence_fixed,Fixed sequence only,2024,new,f01ba85604d2a5c02cb18a17b0e3dada9868b887d2df1d6e615567f0a821b283,2023,2024
missingness_fixed,ok,156,134,41,35,39,1,"{""inner_macro_auc"": 0.5998191438857207, ""model__C"": 0.1, ""model__l1_ratio"": 0.5}",True,0.7242291334396599,0.5995889226079977,0.5492424242424242,1.0047450897525847,0.2777123129702876,0.5759825773308279,0.8430639309883334,0.4799509592407165,0.7626168837928358,0.4022534767052311,0.6911011904761902,0.9034108738459375,1.1139588507584437,0.065669735480725,0.4747911876060854,1000,0.5304800571504519,0.64656432748538,0.0019980019980019,missingness_fixed,Fixed geometry missingness,2024,new,9c14e1218749ead9ba88b7208a7a0b9fc2fc432e21c1ce3e6b149ce5a636bd76,2023,2024
metadata_no_year,ok,156,134,41,35,5,3,"{""inner_macro_auc"": 0.5628131252962563, ""model__C"": 0.5, ""model__l1_ratio"": 0.5}",True,0.582203615098352,0.4523407493263149,0.3484848484848484,1.0747914894172648,-0.0247327138310025,0.4429507919372904,0.7166474107966515,0.3502927552812016,0.6192669707912043,0.1994862082362082,0.5090909090909091,1.0052351798513643,1.1379871286281005,-0.2232766156173596,0.1781111071903115,1000,0.5025483785220627,0.6092224880382774,0.1098901098901098,metadata_no_year,Metadata only (year excluded),2024,new,8ceb5fdbf6032a3d6c9626b0d30babcf2f0801f83b168453f84bd8bb590ffc1a,2023,2024
geometry_plus_metadata_no_year,ok,156,134,41,35,70,4,"{""inner_macro_auc"": 0.7240459190931525, ""model__C"": 0.1, ""model__l1_ratio"": 0.5}",True,0.7487107921318449,0.6001797816237193,0.4962121212121212,0.8897469245936749,0.1923080663769425,0.6323233955424277,0.857881762164795,0.4991278165318493,0.7925432086962642,0.3271560846560846,0.6636032948532947,0.7525409074331169,1.0325717229950373,-0.0634071013937526,0.4479425768710332,1000,0.5280472753854333,0.6429990696438064,0.0019980019980019,geometry_plus_metadata_no_year,Geometry + metadata (year excluded),2024,new,fd2f4aea8f815db8631f20f18a7ac7eb19573e24e91f0d68d428ff8be4d8b2d0,2023,2024
