definition,experiment,target,n_receptors,n_positive,n_negative,roc_auc,pr_auc,bootstrap_ci_low,bootstrap_ci_high,valid_bootstraps
ligand_permissive,all_new_static,Gs,11,3.0,8.0,0.5,0.3777777777777777,,,0
ligand_permissive,all_new_static,Gi/o,11,9.0,2.0,0.5555555555555556,0.8691718775052109,,,0
ligand_permissive,all_new_static,Gq/11,11,6.0,5.0,0.2333333333333333,0.4512265512265512,,,0
ligand_permissive,all_new_static,macro_functional,11,,,0.4296296296296296,0.56605873550318,0.2443683862433862,0.645568783068783,1000
ligand_permissive,contact_network,Gs,11,3.0,8.0,0.6249999999999999,0.6464646464646464,,,0
ligand_permissive,contact_network,Gi/o,11,9.0,2.0,0.5555555555555556,0.8870731120731121,,,0
ligand_permissive,contact_network,Gq/11,11,6.0,5.0,0.3,0.5623376623376624,,,0
ligand_permissive,contact_network,macro_functional,11,,,0.4935185185185184,0.698625140291807,0.3,0.6805720899470898,1000
ligand_permissive,existing_geometry,Gs,11,3.0,8.0,0.7083333333333333,0.625,,,0
ligand_permissive,existing_geometry,Gi/o,11,9.0,2.0,0.6111111111111112,0.9092953342953344,,,0
ligand_permissive,existing_geometry,Gq/11,11,6.0,5.0,0.6,0.607936507936508,,,0
ligand_permissive,existing_geometry,macro_functional,11,,,0.6398148148148147,0.7140772807439474,0.3037037037037037,0.9583333333333334,1000
ligand_permissive,existing_geometry_plus_new_static,Gs,11,3.0,8.0,0.6666666666666666,0.6555555555555554,,,0
ligand_permissive,existing_geometry_plus_new_static,Gi/o,11,9.0,2.0,0.5,0.8762706429373097,,,0
ligand_permissive,existing_geometry_plus_new_static,Gq/11,11,6.0,5.0,0.6,0.6763888888888888,,,0
ligand_permissive,existing_geometry_plus_new_static,macro_functional,11,,,0.5888888888888889,0.736071695793918,0.2628835978835979,0.9394312169312166,998
ligand_permissive,mechanical_susceptibility,Gs,11,3.0,8.0,0.6666666666666666,0.7575757575757576,,,0
ligand_permissive,mechanical_susceptibility,Gi/o,11,9.0,2.0,1.0,1.0000000000000002,,,0
ligand_permissive,mechanical_susceptibility,Gq/11,11,6.0,5.0,0.2666666666666666,0.4584656084656084,,,0
ligand_permissive,mechanical_susceptibility,macro_functional,11,,,0.6444444444444444,0.7386804553471221,0.3333333333333333,0.9,998
ligand_permissive,sequence_only,Gs,11,3.0,8.0,0.9583333333333334,0.9166666666666664,,,0
ligand_permissive,sequence_only,Gi/o,11,9.0,2.0,0.611111111111111,0.8969496552829888,,,0
ligand_permissive,sequence_only,Gq/11,11,6.0,5.0,0.8666666666666667,0.9166666666666664,,,0
ligand_permissive,sequence_only,macro_functional,11,,,0.812037037037037,0.910094329538774,0.6220238095238095,0.9833333333333334,1000
ligand_permissive,sequence_plus_new_static,Gs,11,3.0,8.0,0.7083333333333333,0.6666666666666666,,,0
ligand_permissive,sequence_plus_new_static,Gi/o,11,9.0,2.0,0.611111111111111,0.8969496552829888,,,0
