receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes
5ht2c_human	-0.3831019207982024	-0.7694726358490919	-0.3863707150508895	1	Gq/11
cnr1_human	-0.13000300264196152	-0.16530930229254176	-0.03530629965058024	2	Gi/o;Gs
ffar1_human	0.020729268679370194	-0.7583157546621317	-0.7790450233415018	2	Gi/o;Gq/11
fpr2_human	-0.600912018724216	-0.6390754448865843	-0.03816342616236834	1	Gi/o
gpr6_human	1.0137269980057764	0.8973625166841719	-0.11636448132160437	1	Gs
hcar3_human	-0.21184999473241622	-0.12854799431221492	0.0833020004202013	1	Gi/o
mrgx4_human	-0.04929012561642704	-0.06963332640928055	-0.02034320079285351	1	Gq/11
ntr1_rat	-0.702196718981383	-0.7071879334745588	-0.0049912144931756885	2	Gi/o;Gq/11
p2ry1_human	-0.30233847917050316	-0.5021632790602747	-0.1998247998897715	2	Gq/11;Gs
p2y12_human	0.07703847181291168	-0.21929598085205426	-0.29633445266496594	1	Gi/o
par1_human	0.26534998682888944	0.15015378381188285	-0.11519620301700663	2	Gi/o;Gq/11
pe2r3_human	0.21255251487743193	0.4914821329176806	0.2789296180402487	1	Gi/o
ptafr_human	-0.38177161199485593	-0.4213732672886438	-0.039601655293787896	1	Gi/o
