receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes
aa2ar_human	1.5671538233233404	0.5705203707646282	-0.996633452558712	1	Gs
acm3_human	0.22922514978078584	-0.24425983041746724	-0.4734849801982531	1	Gq/11
adrb2_human	0.24091889365815344	-0.7201180426143146	-0.961036936272468	1	Gs
gp101_human	0.28296441888855683	-0.014622130583999415	-0.29758654947255625	1	Gs
gpr34_human	0.5827611798293166	0.9978597838245602	0.41509860399524356	1	Gi/o
hcar2_human	-0.12688869908030043	0.8346043641342533	0.9614930632145537	1	Gi/o
hcar3_human	0.14965501417596916	0.9768820258758426	0.8272270116998734	1	Gi/o
lpar1_human	0.32428607876127374	0.3242860787612737	0.0	2	Gi/o;Gq/11
mrgx2_human	-0.06699850808686675	-0.06699850808686675	0.0	2	Gi/o;Gq/11
mrgx4_human	0.4923634824186717	0.7725057346107742	0.2801422521921025	1	Gq/11
oprd_human	-0.28950828411521345	0.6746066720945035	0.964114956209717	1	Gi/o
opsd_bovin	1.2925477381997066	0.5386768346730713	-0.7538709035266353	1	Gi/o
pe2r3_human	0.6969931676875001	0.9228311851745938	0.2258380174870937	1	Gi/o
taar1_mouse	0.5766291610574801	0.5766291610574801	0.0	2	Gq/11;Gs
taar9_mouse	-0.13434531050368054	-0.15739027165454683	-0.023044961150866294	1	Gs
