receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes	original_P0_receptor
aa2ar_human	0.7530241459316944	0.17313585119610136	-0.5798882947355931	1	Gs	True
acm3_human	-0.3217175466557266	-0.6651973478077757	-0.3434798011520491	1	Gq/11	True
adrb2_human	0.8467662899928217	0.3467828231520657	-0.499983466840756	1	Gs	True
gp101_human	0.5841613187028255	0.2960842425172918	-0.2880770761855337	1	Gs	True
gpr34_human	0.3048067506706075	0.9170822595164577	0.6122755088458502	1	Gi/o	True
hcar2_human	-0.4755634833254851	0.45500747397486335	0.9305709573003484	1	Gi/o	True
hcar3_human	-0.1595979502421353	0.5256484864343174	0.6852464366764527	1	Gi/o	False
lpar1_human	-0.10337990022154198	-0.10337990022154198	0.0	2	Gi/o;Gq/11	True
mrgx2_human	0.2529511649142408	0.2529511649142408	0.0	2	Gi/o;Gq/11	True
mrgx4_human	-0.13135718017860876	0.28830344951038606	0.4196606296889948	1	Gq/11	False
oprd_human	0.2229112646754205	0.19227316463555333	-0.030638100039867167	1	Gi/o	True
opsd_bovin	0.07197870518960064	-0.023796055888317846	-0.09577476107791849	1	Gi/o	True
pe2r3_human	-0.04903370725153661	0.27776686693035785	0.32680057418189445	1	Gi/o	False
taar1_mouse	0.1528062933915442	0.15280629339154417	0.0	2	Gq/11;Gs	True
taar9_mouse	-0.1435121660288921	-0.039691148772291296	0.10382101725660081	1	Gs	True
