receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes
aa2ar_human	0.800202730515237	0.14716606324535397	-0.6530366672698831	1	Gs
acm3_human	-0.3653920995441326	-0.044970310490563825	0.3204217890535688	1	Gq/11
adrb2_human	0.5670274433643225	0.26836607718013067	-0.29866136618419187	1	Gs
gp101_human	-0.2732518061229588	-0.7640903774105594	-0.4908385712876006	1	Gs
gpr34_human	-0.27275433456703346	0.6703280640818867	0.9430823986489202	1	Gi/o
hcar2_human	0.14436771123332592	0.740854986289934	0.596487275056608	1	Gi/o
hcar3_human	0.38835391270469743	0.8580899434099676	0.46973603070527015	1	Gi/o
lpar1_human	-0.12906324801351682	-0.12906324801351682	0.0	2	Gi/o;Gq/11
mrgx2_human	0.07279026007294459	0.07279026007294459	0.0	2	Gi/o;Gq/11
mrgx4_human	-0.5350313166800746	-0.05211868110940393	0.48291263557067077	1	Gq/11
oprd_human	-0.16015014528696803	0.7713063032546119	0.9314564485415799	1	Gi/o
opsd_bovin	0.8675589032949599	0.38504586217305037	-0.4825130411219095	1	Gi/o
pe2r3_human	-0.037143995637024585	0.4165734458803575	0.4537174415173821	1	Gi/o
taar1_mouse	-0.09795251087852697	-0.09795251087852697	0.0	2	Gq/11;Gs
taar9_mouse	0.3586568118071942	0.17670387003218102	-0.1819529417750132	1	Gs
