receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes
aa2ar_human	1.528260197230395	0.723321444835519	-0.8049387523948762	1	Gs
acm3_human	-0.1963974646613898	-0.686527135822608	-0.49012967116121825	1	Gq/11
adrb2_human	0.46954749675785146	-0.10579507756582862	-0.5753425743236801	1	Gs
gp101_human	0.5288144898263007	-0.23158955892858674	-0.7604040487548875	1	Gs
gpr34_human	-0.006984845413791518	0.8784348468008158	0.8854196922146074	1	Gi/o
hcar2_human	-0.3208828497299212	0.5508928938819092	0.8717757436118304	1	Gi/o
lpar1_human	0.24278785529397795	-0.32267403278228435	-0.5654618880762623	2	Gi/o;Gq/11
mrgx2_human	-0.07487389166137676	-0.07487389166137676	0.0	2	Gi/o;Gq/11
oprd_human	0.11053444822784786	0.5662630371473862	0.4557285889195384	1	Gi/o
opsd_bovin	0.035214122165766026	0.030031773796165284	-0.005182348369600742	1	Gi/o
taar1_mouse	0.5613981536717754	0.5613981536717755	0.0	2	Gq/11;Gs
taar9_mouse	0.6204480845303612	0.5891438731744936	-0.031304211355867584	1	Gs
