population	training_receptor	max_identity_to_matched	exclude_at_0.50
P0_strict	5ht1a_human	0.625	True
P0_strict	5ht1d_human	0.59375	True
P0_strict	5ht1e_human	0.59375	True
P0_strict	5ht1f_human	0.609375	True
P0_strict	5ht2a_human	0.515625	True
P0_strict	5ht2b_human	0.515625	True
P0_strict	5ht2c_human	0.53125	True
P0_strict	5ht4r_human	0.640625	True
P0_strict	5ht5a_human	0.53125	True
P0_strict	5ht6r_human	0.515625	True
P0_strict	5ht7r_human	0.609375	True
P0_strict	aa1r_human	0.71875	True
P0_strict	aa2br_human	0.734375	True
P0_strict	aa3r_human	0.625	True
P0_strict	acm1_human	0.921875	True
P0_strict	acm4_human	0.828125	True
P0_strict	acthr_human	0.5	True
P0_strict	ada1a_human	0.625	True
P0_strict	ada2a_human	0.625	True
P0_strict	ada2b_human	0.59375	True
P0_strict	adrb1_melga	0.875	True
P0_strict	adrb3_canlf	0.71875	True
P0_strict	adrb3_human	0.71875	True
P0_strict	agtr1_human	0.5	True
P0_strict	apj_human	0.53125	True
P0_strict	b1b1u5_9arac	0.40625	False
P0_strict	bkrb1_human	0.4375	False
P0_strict	bkrb2_human	0.453125	False
P0_strict	brs3_human	0.4375	False
P0_strict	c3ar_human	0.5	True
P0_strict	c5ar1_human	0.453125	False
P0_strict	cckar_human	0.546875	True
P0_strict	ccr1_human	0.484375	False
P0_strict	ccr2_human	0.453125	False
P0_strict	ccr3_human	0.46875	False
P0_strict	ccr5_human	0.4375	False
P0_strict	ccr8_human	0.5	True
P0_strict	cml1_human	0.5	True
P0_strict	cml2_human	0.453125	False
P0_strict	cnr1_human	0.515625	True
P0_strict	cnr2_human	0.484375	False
P0_strict	cx3c1_human	0.484375	False
P0_strict	cxcr1_human	0.453125	False
P0_strict	cxcr2_human	0.46875	False
P0_strict	cxcr3_human	0.40625	False
P0_strict	cxcr4_human	0.4375	False
P0_strict	drd1_human	0.703125	True
P0_strict	drd2_human	0.609375	True
P0_strict	drd3_human	0.59375	True
P0_strict	drd4_human	0.578125	True
P0_strict	drd5_human	0.671875	True
P0_strict	e7fel0_danre	0.390625	False
P0_strict	ednra_human	0.40625	False
P0_strict	ednrb_human	0.40625	False
P0_strict	ffar1_human	0.3125	False
P0_strict	ffar2_human	0.390625	False
P0_strict	ffar3_human	0.5	True
P0_strict	ffar4_human	0.34375	False
P0_strict	fpr1_human	0.5	True
P0_strict	fpr2_human	0.515625	True
P0_strict	fshr_human	0.4375	False
P0_strict	galr1_human	0.515625	True
P0_strict	galr2_human	0.5	True
P0_strict	gasr_human	0.53125	True
P0_strict	ghsr_human	0.4375	False
P0_strict	gp119_human	0.484375	False
P0_strict	gp132_human	0.421875	False
P0_strict	gp139_human	0.421875	False
P0_strict	gp161_human	0.4375	False
P0_strict	gp174_human	0.515625	True
P0_strict	gp183_human	0.421875	False
P0_strict	gpbar_human	0.28125	False
P0_strict	gper1_human	0.484375	False
P0_strict	gpr12_human	0.546875	True
