receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes
aa2ar_human	0.7137497385974126	-0.140821434294656	-0.8545711728920686	1	Gs
acm3_human	-0.13495303180367452	-0.15040414000403862	-0.015451108200364105	1	Gq/11
adrb2_human	0.1654340464655124	0.5746803312119984	0.40924628474648594	1	Gs
gp101_human	-0.16451986699335525	0.48256534314966576	0.647085210143021	1	Gs
gpr34_human	0.08545512931528726	-0.13674569766437666	-0.22220082697966392	1	Gi/o
hcar2_human	-0.19123853049940642	0.17002178109853433	0.36126031159794075	1	Gi/o
hcar3_human	0.17258754033410462	0.6414985104989276	0.46891097016482297	1	Gi/o
lpar1_human	0.4124237950867805	0.18324243324657705	-0.2291813618402035	2	Gi/o;Gq/11
mrgx2_human	0.10537059298712562	0.10537059298712562	0.0	2	Gi/o;Gq/11
mrgx4_human	-0.5014011015415363	-0.26215628514724876	0.23924481639428746	1	Gq/11
oprd_human	1.270037280246393	0.5500756837148119	-0.7199615965315813	1	Gi/o
opsd_bovin	0.17621305184643243	0.6921059215623435	0.5158928697159111	1	Gi/o
pe2r3_human	0.8351351530542245	0.2155320749927604	-0.6196030780614641	1	Gi/o
taar1_mouse	0.22908958216105846	0.22908958216105846	0.0	2	Gq/11;Gs
taar9_mouse	0.3947480047043324	0.6781396867300405	0.28339168202570814	1	Gs
