receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes
aa2ar_human	1.0487774198600397	0.18795416167033302	-0.8608232581897067	1	Gs
acm3_human	0.12553331717238964	-0.1687188138395258	-0.29425213101191544	1	Gq/11
adrb2_human	-0.11274522480912513	0.2839432237575894	0.39668844856671454	1	Gs
gp101_human	-0.1747124412776308	0.30402783598672584	0.47874027726435664	1	Gs
gpr34_human	0.9756541637741765	0.9882492524965356	0.012595088722359149	1	Gi/o
hcar2_human	-0.32943761234015484	0.297217596064462	0.6266552084046169	1	Gi/o
hcar3_human	-0.07928527541845531	0.3361134853107177	0.41539876072917303	1	Gi/o
lpar1_human	0.031120453376546786	0.031120453376546897	0.0	2	Gi/o;Gq/11
mrgx2_human	0.07364715605098393	-0.01876472178834182	-0.09241187783932575	2	Gi/o;Gq/11
mrgx4_human	-0.057558586546089696	-0.4009817650741976	-0.3434231785281079	1	Gq/11
oprd_human	0.8061291406255768	0.1107912334529706	-0.6953379071726062	1	Gi/o
opsd_bovin	0.9911290806031952	0.90444441059599	-0.08668467000720514	1	Gi/o
pe2r3_human	1.1887588161290004	0.1943872506978206	-0.9943715654311797	1	Gi/o
taar1_mouse	0.24961158038229658	0.24961158038229658	0.0	2	Gq/11;Gs
taar9_mouse	0.3144661989101355	-0.18302582275377716	-0.49749202166391265	1	Gs
