receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes
aa2ar_human	1.6913501278690322	0.8811360348764808	-0.8102140929925512	1	Gs
acm3_human	-0.2331039520654304	-0.31495460496050315	-0.08185065289507276	1	Gq/11
adrb2_human	1.337035304787346	0.9888318882011643	-0.34820341658618176	1	Gs
gp101_human	0.19588061321958028	-0.4583012376172617	-0.654181850836842	1	Gs
gpr34_human	-0.3405389132376824	0.6265769930598473	0.9671159062975296	1	Gi/o
hcar2_human	0.04848130792369221	0.9855667889525009	0.9370854810288087	1	Gi/o
hcar3_human	0.08977200020127263	0.9756524913005002	0.8858804910992276	1	Gi/o
lpar1_human	-0.6379237123181211	-0.6468640778631731	-0.008940365545052065	2	Gi/o;Gq/11
mrgx2_human	0.07023370975886156	0.07023370975886156	0.0	2	Gi/o;Gq/11
mrgx4_human	-0.10040260380351224	0.04059050918701407	0.1409931129905263	1	Gq/11
oprd_human	-0.055950784251140084	0.590923664253889	0.6468744485050291	1	Gi/o
opsd_bovin	0.502255910714037	-0.2972162500895617	-0.7994721608035986	1	Gi/o
pe2r3_human	0.5376691837225192	0.8363325812755625	0.29866339755304333	1	Gi/o
taar1_mouse	0.35673254215214645	0.35673254215214645	0.0	2	Gq/11;Gs
taar9_mouse	0.22670009366915528	0.21379576596635547	-0.012904327702799812	1	Gs
