i	j	receptor_i	receptor_j	class_i	class_j	same_class	cosine_similarity
0	1	aa2ar_human	acm3_human	Gs	Gq/11	False	-0.04540073670934007
0	2	aa2ar_human	adrb2_human	Gs	Gs	True	-0.013833252236549888
0	3	aa2ar_human	gp101_human	Gs	Gs	True	0.09589976781979531
0	4	aa2ar_human	gpr34_human	Gs	Gi/o	False	-0.16415631371748926
0	5	aa2ar_human	hcar2_human	Gs	Gi/o	False	0.037982268818612434
0	6	aa2ar_human	lpar1_human	Gs	Gi/o	False	0.022803061196687693
0	7	aa2ar_human	lpar1_human	Gs	Gq/11	False	0.0060997674836634035
0	8	aa2ar_human	mrgx2_human	Gs	Gi/o	False	-0.3595745613142556
0	9	aa2ar_human	mrgx2_human	Gs	Gq/11	False	-0.07588414054237097
0	10	aa2ar_human	oprd_human	Gs	Gi/o	False	0.5107511629414437
0	11	aa2ar_human	opsd_bovin	Gs	Gi/o	False	-0.03339006111363511
0	12	aa2ar_human	taar1_mouse	Gs	Gq/11	False	-0.12413662715970569
0	13	aa2ar_human	taar1_mouse	Gs	Gs	True	0.20894145564095498
0	14	aa2ar_human	taar9_mouse	Gs	Gs	True	-0.05126640268868504
1	2	acm3_human	adrb2_human	Gq/11	Gs	False	-0.10018008927626654
1	3	acm3_human	gp101_human	Gq/11	Gs	False	0.07264189410232572
1	4	acm3_human	gpr34_human	Gq/11	Gi/o	False	0.23035858556560612
1	5	acm3_human	hcar2_human	Gq/11	Gi/o	False	-0.10705305490770739
1	6	acm3_human	lpar1_human	Gq/11	Gi/o	False	0.1414481142578749
1	7	acm3_human	lpar1_human	Gq/11	Gq/11	True	0.0002862509057435229
1	8	acm3_human	mrgx2_human	Gq/11	Gi/o	False	0.042819061102660885
1	9	acm3_human	mrgx2_human	Gq/11	Gq/11	True	0.0810335958820523
1	10	acm3_human	oprd_human	Gq/11	Gi/o	False	0.06937781991932353
1	11	acm3_human	opsd_bovin	Gq/11	Gi/o	False	-0.10671952656397449
1	12	acm3_human	taar1_mouse	Gq/11	Gq/11	True	0.05678207913103479
1	13	acm3_human	taar1_mouse	Gq/11	Gs	False	-0.1158791540722819
1	14	acm3_human	taar9_mouse	Gq/11	Gs	False	-0.12523208372681988
2	3	adrb2_human	gp101_human	Gs	Gs	True	0.32314418314457943
2	4	adrb2_human	gpr34_human	Gs	Gi/o	False	-0.11162031470728913
2	5	adrb2_human	hcar2_human	Gs	Gi/o	False	-0.09432929979945281
2	6	adrb2_human	lpar1_human	Gs	Gi/o	False	0.1135241186580331
2	7	adrb2_human	lpar1_human	Gs	Gq/11	False	0.22706047931933024
2	8	adrb2_human	mrgx2_human	Gs	Gi/o	False	-0.11415055033729783
2	9	adrb2_human	mrgx2_human	Gs	Gq/11	False	-0.22152187695366923
2	10	adrb2_human	oprd_human	Gs	Gi/o	False	-0.1627607236793591
2	11	adrb2_human	opsd_bovin	Gs	Gi/o	False	0.11446399995420088
2	12	adrb2_human	taar1_mouse	Gs	Gq/11	False	-0.14379587557507417
2	13	adrb2_human	taar1_mouse	Gs	Gs	True	0.4638586116413511
2	14	adrb2_human	taar9_mouse	Gs	Gs	True	-0.2732650004404273
3	4	gp101_human	gpr34_human	Gs	Gi/o	False	-0.2045056300189682
3	5	gp101_human	hcar2_human	Gs	Gi/o	False	-0.0041041439752017095
3	6	gp101_human	lpar1_human	Gs	Gi/o	False	0.11896802748134049
3	7	gp101_human	lpar1_human	Gs	Gq/11	False	0.11331740000198431
3	8	gp101_human	mrgx2_human	Gs	Gi/o	False	0.03824993108028864
3	9	gp101_human	mrgx2_human	Gs	Gq/11	False	-0.5491146850978876
3	10	gp101_human	oprd_human	Gs	Gi/o	False	-0.2265797323199385
3	11	gp101_human	opsd_bovin	Gs	Gi/o	False	0.02452880109943701
3	12	gp101_human	taar1_mouse	Gs	Gq/11	False	0.24296693994596472
3	13	gp101_human	taar1_mouse	Gs	Gs	True	0.36491035570777214
3	14	gp101_human	taar9_mouse	Gs	Gs	True	-0.2460645923011994
4	5	gpr34_human	hcar2_human	Gi/o	Gi/o	True	-0.03819155501035132
4	6	gpr34_human	lpar1_human	Gi/o	Gi/o	True	0.24956330806315333
4	7	gpr34_human	lpar1_human	Gi/o	Gq/11	False	0.022542234715501954
4	8	gpr34_human	mrgx2_human	Gi/o	Gi/o	True	0.18746354889863176
4	9	gpr34_human	mrgx2_human	Gi/o	Gq/11	False	0.06924576086364242
4	10	gpr34_human	oprd_human	Gi/o	Gi/o	True	-0.19043699083583274
4	11	gpr34_human	opsd_bovin	Gi/o	Gi/o	True	-0.14741169155030842
4	12	gpr34_human	taar1_mouse	Gi/o	Gq/11	False	0.15545296748365106
4	13	gpr34_human	taar1_mouse	Gi/o	Gs	False	-0.06552983401902898
4	14	gpr34_human	taar9_mouse	Gi/o	Gs	False	-0.10073995259257805
5	6	hcar2_human	lpar1_human	Gi/o	Gi/o	True	0.00660429833832743
5	7	hcar2_human	lpar1_human	Gi/o	Gq/11	False	-0.1311101372501722
5	8	hcar2_human	mrgx2_human	Gi/o	Gi/o	True	0.06806462584062699
5	9	hcar2_human	mrgx2_human	Gi/o	Gq/11	False	-0.008064104560847298
5	10	hcar2_human	oprd_human	Gi/o	Gi/o	True	0.04215544062132726
5	11	hcar2_human	opsd_bovin	Gi/o	Gi/o	True	-0.19804673674086043
