receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes	bound_pdb_chains	bound_methods	bound_resolution_median	bound_species	bound_ligand_types	bound_any_fusion	bound_fusion_names	free_pdb_chains	free_methods	free_resolution_median	free_species	free_ligand_types	free_any_fusion	free_fusion_names	resolution_difference_bound_minus_free	absolute_resolution_difference	same_method	species_overlap	ligand_type_overlap
aa2ar_human	1.3162315922707601	0.6201389290094059	-0.6960926632613542	1	Gs	5G53:B	X-ray diffraction	3.4	Homo sapiens	agonist	False		2YDO:A;2YDV:A;4UG2:A;4UHR:A	X-ray diffraction	2.6	Homo sapiens	agonist	False		0.7999999999999998	0.7999999999999998	True	True	True
acm3_human	-0.732204642575197	-0.8148987020601701	-0.0826940594849731	1	Gq/11	8E9W:A	Electron microscopy	2.69	Homo sapiens	agonist	False		8EA0:A	Electron microscopy	2.56	Homo sapiens	agonist	False		0.1299999999999999	0.1299999999999999	True	True	True
adrb2_human	0.5648813689965602	0.5478457891549438	-0.01703557984161641	1	Gs	8GG0:R	Electron microscopy	2.9	Homo sapiens	agonist	False		8GGI:R;8GGJ:R;8GGK:R;8GGL:R;8GGM:R;8GGN:R;8GGO:R;8GGP:R;8GGQ:R;8GGR:R;8GGS:R;8GGT:R;8GGU:R;8GGV:R;8GGW:R;8GGX:R;8GGY:R;8GGZ:R;8GH0:R;8GH1:R	Electron microscopy	3.5	Homo sapiens	agonist	False		-0.6000000000000001	0.6000000000000001	True	True	True
gp101_human	0.7216202540762834	0.9333424155396322	0.21172216146334877	1	Gs	8W8Q:C	Electron microscopy	2.89	Homo sapiens	apo	True	b562	8W8S:R	Electron microscopy	3.3	Homo sapiens	agonist	False		-0.4099999999999997	0.4099999999999997	True	True	False
gpr34_human	0.6785934078466926	0.9015821893249684	0.22298878147827578	1	Gi/o	8XBH:R	Electron microscopy	2.83	Homo sapiens	agonist	False		8IYX:C;8XBG:A;8XBI:R	Electron microscopy	3.34	Homo sapiens	agonist	False		-0.5099999999999998	0.5099999999999998	True	True	True
hcar2_human	0.19348790030824603	0.9759412065747898	0.7824533062665437	1	Gi/o	8J6J:R	Electron microscopy	2.8	Homo sapiens	agonist	False		8K5B:A;8K5C:A;8K5D:A	Electron microscopy	3.43	Homo sapiens	agonist	False		-0.6300000000000003	0.6300000000000003	True	True	True
lpar1_human	0.10275106269417494	0.03220183213058281	-0.07054923056359211	2	Gi/o;Gq/11	7TD0:R;9IZG:R	Electron microscopy	2.935	Homo sapiens	agonist	True	b562	7YU4:A	Electron microscopy	3.3	Homo sapiens	agonist	False		-0.36499999999999977	0.36499999999999977	True	True	True
mrgx2_human	0.04399678789081507	0.016550930339040426	-0.027445857551774644	2	Gi/o;Gq/11	7S8L:R;7VV5:R	Electron microscopy	2.605	Homo sapiens	agonist	False		7VV6:R	Electron microscopy	3.3	Homo sapiens	agonist	False		-0.6949999999999998	0.6949999999999998	True	True	True
oprd_human	1.1143456628777666	0.16186669143326843	-0.9524789714444982	1	Gi/o	8F7S:R	Electron microscopy	3.0	Homo sapiens	agonist	False		6PT3:A	X-ray diffraction	3.3	Homo sapiens	agonist	False		-0.2999999999999998	0.2999999999999998	False	True	True
opsd_bovin	0.3721537446187658	0.07098165285673202	-0.3011720917620338	1	Gi/o	4X1H:A	X-ray diffraction	2.29	Bos taurus	unknown	False		3CAP:A;3PXO:A;4BEZ:A;5DYS:A;5TE3:A;6FK6:A;6FK7:A;6FK8:A;6FK9:A;6FKA:A;6FKB:A;6FKC:A;6FKD:A	X-ray diffraction	2.7	Bos taurus	agonist;apo;unknown	False		-0.41000000000000014	0.41000000000000014	True	True	True
taar1_mouse	0.13024814031925264	0.13024814031925264	0.0	2	Gq/11;Gs	8WCB:R;8ZSV:R	Electron microscopy	3.0300000000000002	Mus musculus	agonist	True	b562	8WCC:R	Electron microscopy	3.04	Mus musculus	agonist	False		-0.009999999999999787	0.009999999999999787	True	True	True
taar9_mouse	0.15915066729242427	0.08591760098630519	-0.07323306630611909	1	Gs	8IW9:R	Electron microscopy	3.08	Mus musculus	agonist	False		8IWE:R;8IWM:R	Electron microscopy	3.285	Mus musculus	agonist	False		-0.20500000000000007	0.20500000000000007	True	True	True
