receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes	original_P0_receptor
aa2ar_human	0.6074524041145082	0.12993784107331474	-0.4775145630411935	1	Gs	True
acm3_human	-0.10154237879755434	-0.7301092795214369	-0.6285669007238825	1	Gq/11	True
adrb2_human	0.8926304733404697	0.20766973432122376	-0.6849607390192459	1	Gs	True
fpr2_human	0.2046278373500916	-0.009612845059558672	-0.21424068240965027	1	Gi/o	False
gp101_human	0.5223612790030903	0.5721106962005035	0.049749417197413215	1	Gs	True
gpr34_human	0.7378837420899406	0.7343031776733056	-0.0035805644166350126	1	Gi/o	True
hcar2_human	-0.814490102102273	0.1743214310460528	0.9888115331483258	1	Gi/o	True
hcar3_human	0.019559507503834173	0.995969809529562	0.9764103020257279	1	Gi/o	False
lpar1_human	0.013704106362387114	0.013704106362387114	0.0	2	Gi/o;Gq/11	True
mrgx2_human	0.05682349821114746	0.05682349821114746	0.0	2	Gi/o;Gq/11	True
mrgx4_human	0.07153512103181348	0.24540328080268237	0.1738681597708689	1	Gq/11	False
ntr1_rat	0.012805854457918486	0.008955279133796401	-0.0038505753241220853	2	Gi/o;Gq/11	False
oprd_human	-0.4374132059663964	0.16868964352928023	0.6061028494956766	1	Gi/o	True
opsd_bovin	0.36808742146923346	0.8068747386289177	0.4387873171596842	1	Gi/o	True
pe2r3_human	0.5135403537753493	0.27172324053229435	-0.24181711324305494	1	Gi/o	False
taar1_mouse	0.2540223624773133	0.25137900888141396	-0.0026433535958994003	2	Gq/11;Gs	True
taar9_mouse	-0.1882108218791741	-0.5650309392517423	-0.3768201173725682	1	Gs	True
