receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes
aa2ar_human	0.5790049969018312	-0.3004528406023451	-0.8794578375041763	1	Gs
acm3_human	0.07425143983714261	-0.3094711419984705	-0.3837225818356131	1	Gq/11
adrb2_human	0.1600892549314153	0.04390062783963716	-0.11618862709177813	1	Gs
gp101_human	-0.31960367728903594	-0.10315366937816656	0.21645000791086938	1	Gs
gpr34_human	0.14749641499756005	0.12241374721473364	-0.025082667782826418	1	Gi/o
hcar2_human	-0.05654764570419213	-0.1949951820373917	-0.13844753633319956	1	Gi/o
lpar1_human	0.0018155496442958663	-0.0757146130705415	-0.07753016271483737	2	Gi/o;Gq/11
mrgx2_human	-0.07031341384178663	-0.1417461857186074	-0.07143277187682076	2	Gi/o;Gq/11
oprd_human	0.9154723397943348	0.3384821265364032	-0.5769902132579317	1	Gi/o
opsd_bovin	0.1030041322004212	0.03433592652141354	-0.06866820567900767	1	Gi/o
taar1_mouse	-0.09696019455562974	-0.13278444313683765	-0.03582424858120792	2	Gq/11;Gs
taar9_mouse	0.14561255688161484	0.46614566623804743	0.3205331093564326	1	Gs
