i	j	receptor_i	receptor_j	class_i	class_j	same_class	cosine_similarity
0	1	aa2ar_human	acm3_human	Gs	Gq/11	False	-0.029255001653922925
0	2	aa2ar_human	adrb2_human	Gs	Gs	True	0.015731385604781767
0	3	aa2ar_human	gp101_human	Gs	Gs	True	0.10236962861587867
0	4	aa2ar_human	gpr34_human	Gs	Gi/o	False	-0.11781300335271155
0	5	aa2ar_human	hcar2_human	Gs	Gi/o	False	0.017231657326540424
0	6	aa2ar_human	hcar3_human	Gs	Gi/o	False	-0.09112701606601593
0	7	aa2ar_human	lpar1_human	Gs	Gi/o	False	0.0439362886280151
0	8	aa2ar_human	lpar1_human	Gs	Gq/11	False	0.00391262513765718
0	9	aa2ar_human	mrgx2_human	Gs	Gi/o	False	-0.39262591818127524
0	10	aa2ar_human	mrgx2_human	Gs	Gq/11	False	-0.07806114467380434
0	11	aa2ar_human	mrgx4_human	Gs	Gq/11	False	-0.1017715251345155
0	12	aa2ar_human	oprd_human	Gs	Gi/o	False	0.5582246271584371
0	13	aa2ar_human	opsd_bovin	Gs	Gi/o	False	-0.006835050342127103
0	14	aa2ar_human	pe2r3_human	Gs	Gi/o	False	0.055365634228768
0	15	aa2ar_human	taar1_mouse	Gs	Gq/11	False	-0.11049894522847485
0	16	aa2ar_human	taar1_mouse	Gs	Gs	True	0.21746549293577197
0	17	aa2ar_human	taar9_mouse	Gs	Gs	True	-0.013183078808717023
1	2	acm3_human	adrb2_human	Gq/11	Gs	False	-0.12423510119958667
1	3	acm3_human	gp101_human	Gq/11	Gs	False	0.06407334627886092
1	4	acm3_human	gpr34_human	Gq/11	Gi/o	False	0.1682886665646116
1	5	acm3_human	hcar2_human	Gq/11	Gi/o	False	-0.016584107702876945
1	6	acm3_human	hcar3_human	Gq/11	Gi/o	False	0.2925176289124205
1	7	acm3_human	lpar1_human	Gq/11	Gi/o	False	0.06313511990402947
1	8	acm3_human	lpar1_human	Gq/11	Gq/11	True	-0.06717055719146553
1	9	acm3_human	mrgx2_human	Gq/11	Gi/o	False	0.018403230308074947
1	10	acm3_human	mrgx2_human	Gq/11	Gq/11	True	0.043141570946420245
1	11	acm3_human	mrgx4_human	Gq/11	Gq/11	True	-0.010057066593422604
1	12	acm3_human	oprd_human	Gq/11	Gi/o	False	0.03751113486459085
1	13	acm3_human	opsd_bovin	Gq/11	Gi/o	False	-0.13962616673929462
1	14	acm3_human	pe2r3_human	Gq/11	Gi/o	False	-0.11478474132155803
1	15	acm3_human	taar1_mouse	Gq/11	Gq/11	True	0.05645257593385414
1	16	acm3_human	taar1_mouse	Gq/11	Gs	False	-0.11112079915894421
1	17	acm3_human	taar9_mouse	Gq/11	Gs	False	-0.15771766888231153
2	3	adrb2_human	gp101_human	Gs	Gs	True	0.33265349285121965
2	4	adrb2_human	gpr34_human	Gs	Gi/o	False	-0.1101785120936091
2	5	adrb2_human	hcar2_human	Gs	Gi/o	False	-0.11512023969388634
2	6	adrb2_human	hcar3_human	Gs	Gi/o	False	0.045073182663809296
2	7	adrb2_human	lpar1_human	Gs	Gi/o	False	0.15344191931570547
2	8	adrb2_human	lpar1_human	Gs	Gq/11	False	0.25301496289001063
2	9	adrb2_human	mrgx2_human	Gs	Gi/o	False	-0.08923198390741842
2	10	adrb2_human	mrgx2_human	Gs	Gq/11	False	-0.2446517991568678
2	11	adrb2_human	mrgx4_human	Gs	Gq/11	False	-0.23488097362384916
2	12	adrb2_human	oprd_human	Gs	Gi/o	False	-0.12242686260975941
2	13	adrb2_human	opsd_bovin	Gs	Gi/o	False	0.1453670759923048
2	14	adrb2_human	pe2r3_human	Gs	Gi/o	False	-0.21429184996441966
2	15	adrb2_human	taar1_mouse	Gs	Gq/11	False	-0.11631578511328552
2	16	adrb2_human	taar1_mouse	Gs	Gs	True	0.5029753476255672
2	17	adrb2_human	taar9_mouse	Gs	Gs	True	-0.20455356772891267
3	4	gp101_human	gpr34_human	Gs	Gi/o	False	-0.2146840706642959
3	5	gp101_human	hcar2_human	Gs	Gi/o	False	0.025541271689242723
3	6	gp101_human	hcar3_human	Gs	Gi/o	False	0.21284397793119617
3	7	gp101_human	lpar1_human	Gs	Gi/o	False	0.10433604095048428
3	8	gp101_human	lpar1_human	Gs	Gq/11	False	0.11281475914422312
3	9	gp101_human	mrgx2_human	Gs	Gi/o	False	0.036016679237993704
3	10	gp101_human	mrgx2_human	Gs	Gq/11	False	-0.5505881697591414
3	11	gp101_human	mrgx4_human	Gs	Gq/11	False	-0.24781613104295933
3	12	gp101_human	oprd_human	Gs	Gi/o	False	-0.21715018840622075
3	13	gp101_human	opsd_bovin	Gs	Gi/o	False	0.015631134868351614
3	14	gp101_human	pe2r3_human	Gs	Gi/o	False	-0.19503068061806236
3	15	gp101_human	taar1_mouse	Gs	Gq/11	False	0.2542884751454231
