receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes
aa2ar_human	1.3162315922707601	0.6201389290094059	-0.6960926632613542	1	Gs
acm3_human	-0.732204642575197	-0.8148987020601701	-0.0826940594849731	1	Gq/11
adrb2_human	0.5648813689965602	0.5478457891549438	-0.01703557984161641	1	Gs
gp101_human	0.7216202540762834	0.9333424155396322	0.21172216146334877	1	Gs
gpr34_human	0.6785934078466926	0.9015821893249684	0.22298878147827578	1	Gi/o
hcar2_human	0.19348790030824603	0.9759412065747898	0.7824533062665437	1	Gi/o
lpar1_human	0.10275106269417494	0.03220183213058281	-0.07054923056359211	2	Gi/o;Gq/11
mrgx2_human	0.04399678789081507	0.016550930339040426	-0.027445857551774644	2	Gi/o;Gq/11
oprd_human	1.1143456628777666	0.16186669143326843	-0.9524789714444982	1	Gi/o
opsd_bovin	0.3721537446187658	0.07098165285673202	-0.3011720917620338	1	Gi/o
taar1_mouse	0.13024814031925264	0.13024814031925264	0.0	2	Gq/11;Gs
taar9_mouse	0.15915066729242427	0.08591760098630519	-0.07323306630611909	1	Gs
