population	receptor_name	captured_transducer_class	bound_pdb_id	bound_receptor_chain	partner_free_reference_definition	n_partner_free_structures	bound_pdb_ids	bound_pdb_chains	bound_experimental_method	bound_resolution_values	bound_species	bound_ligand_type	bound_fusion_protein	bound_fusion_names	bound_stabilising_mutations	bound_engineered_construct	partner_free_pdb_ids	partner_free_pdb_chains	partner_free_experimental_method	partner_free_resolution_values	partner_free_species	partner_free_ligand_type	partner_free_fusion_protein	partner_free_fusion_names	partner_free_stabilising_mutations	partner_free_engineered_construct
P0_strict	aa2ar_human	Gs	5G53	B	median feature vector across all eligible structures listed in partner_free_pdb_ids	4	5G53	5G53:B	X-ray diffraction	3.4	Homo sapiens	agonist	False				2YDO;2YDV;4UG2;4UHR	2YDO:A;2YDV:A;4UG2:A;4UHR:A	X-ray diffraction	2.6;3.0	Homo sapiens	agonist	False			
P0_strict	acm3_human	Gq/11	8E9W	A	median feature vector across all eligible structures listed in partner_free_pdb_ids	1	8E9W	8E9W:A	Electron microscopy	2.69	Homo sapiens	agonist	False				8EA0	8EA0:A	Electron microscopy	2.56	Homo sapiens	agonist	False			
P0_strict	adrb2_human	Gs	8GG0	R	median feature vector across all eligible structures listed in partner_free_pdb_ids	20	8GG0	8GG0:R	Electron microscopy	2.9	Homo sapiens	agonist	False				8GGI;8GGJ;8GGK;8GGL;8GGM;8GGN;8GGO;8GGP;8GGQ;8GGR;8GGS;8GGT;8GGU;8GGV;8GGW;8GGX;8GGY;8GGZ;8GH0;8GH1	8GGI:R;8GGJ:R;8GGK:R;8GGL:R;8GGM:R;8GGN:R;8GGO:R;8GGP:R;8GGQ:R;8GGR:R;8GGS:R;8GGT:R;8GGU:R;8GGV:R;8GGW:R;8GGX:R;8GGY:R;8GGZ:R;8GH0:R;8GH1:R	Electron microscopy	3.2;3.3;3.4;3.5;3.6;3.9;4.0;4.1	Homo sapiens	agonist	False			
P0_strict	gp101_human	Gs	8W8Q	C	median feature vector across all eligible structures listed in partner_free_pdb_ids	1	8W8Q	8W8Q:C	Electron microscopy	2.89	Homo sapiens	apo	True	b562			8W8S	8W8S:R	Electron microscopy	3.3	Homo sapiens	agonist	False			
P0_strict	gpr34_human	Gi/o	8XBH	R	median feature vector across all eligible structures listed in partner_free_pdb_ids	3	8XBH	8XBH:R	Electron microscopy	2.83	Homo sapiens	agonist	False				8IYX;8XBG;8XBI	8IYX:C;8XBG:A;8XBI:R	Electron microscopy	3.06;3.34;3.43	Homo sapiens	agonist	False			
P0_strict	hcar2_human	Gi/o	8J6J	R	median feature vector across all eligible structures listed in partner_free_pdb_ids	3	8J6J	8J6J:R	Electron microscopy	2.8	Homo sapiens	agonist	False				8K5B;8K5C;8K5D	8K5B:A;8K5C:A;8K5D:A	Electron microscopy	3.13;3.43;3.74	Homo sapiens	agonist	False			
P0_strict	lpar1_human	Gi/o	7TD0	R	median feature vector across all eligible structures listed in partner_free_pdb_ids	1	7TD0	7TD0:R	Electron microscopy	2.83	Homo sapiens	agonist	False				7YU4	7YU4:A	Electron microscopy	3.3	Homo sapiens	agonist	False			
P0_strict	lpar1_human	Gq/11	9IZG	R	median feature vector across all eligible structures listed in partner_free_pdb_ids	1	9IZG	9IZG:R	Electron microscopy	3.04	Homo sapiens	agonist	True	b562			7YU4	7YU4:A	Electron microscopy	3.3	Homo sapiens	agonist	False			
P0_strict	mrgx2_human	Gi/o	7VV5	R	median feature vector across all eligible structures listed in partner_free_pdb_ids	1	7VV5	7VV5:R	Electron microscopy	2.76	Homo sapiens	agonist	False				7VV6	7VV6:R	Electron microscopy	3.3	Homo sapiens	agonist	False			
P0_strict	mrgx2_human	Gq/11	7S8L	R	median feature vector across all eligible structures listed in partner_free_pdb_ids	1	7S8L	7S8L:R	Electron microscopy	2.45	Homo sapiens	agonist	False				7VV6	7VV6:R	Electron microscopy	3.3	Homo sapiens	agonist	False			
P0_strict	oprd_human	Gi/o	8F7S	R	median feature vector across all eligible structures listed in partner_free_pdb_ids	1	8F7S	8F7S:R	Electron microscopy	3.0	Homo sapiens	agonist	False				6PT3	6PT3:A	X-ray diffraction	3.3	Homo sapiens	agonist	False			
P0_strict	opsd_bovin	Gi/o	4X1H	A	median feature vector across all eligible structures listed in partner_free_pdb_ids	13	4X1H	4X1H:A	X-ray diffraction	2.29	Bos taurus	unknown	False				3CAP;3PXO;4BEZ;5DYS;5TE3;6FK6;6FK7;6FK8;6FK9;6FKA;6FKB;6FKC;6FKD	3CAP:A;3PXO:A;4BEZ:A;5DYS:A;5TE3:A;6FK6:A;6FK7:A;6FK8:A;6FK9:A;6FKA:A;6FKB:A;6FKC:A;6FKD:A	X-ray diffraction	2.3;2.36;2.46;2.49;2.62;2.63;2.7;2.87;2.9;3.0;3.03;3.3	Bos taurus	agonist;apo;unknown	False			
P0_strict	taar1_mouse	Gq/11	8WCB	R	median feature vector across all eligible structures listed in partner_free_pdb_ids	1	8WCB	8WCB:R	Electron microscopy	3.1	Mus musculus	agonist	False				8WCC	8WCC:R	Electron microscopy	3.04	Mus musculus	agonist	False			
P0_strict	taar1_mouse	Gs	8ZSV	R	median feature vector across all eligible structures listed in partner_free_pdb_ids	1	8ZSV	8ZSV:R	Electron microscopy	2.96	Mus musculus	agonist	True	b562			8WCC	8WCC:R	Electron microscopy	3.04	Mus musculus	agonist	False			
P0_strict	taar9_mouse	Gs	8IW9	R	median feature vector across all eligible structures listed in partner_free_pdb_ids	2	8IW9	8IW9:R	Electron microscopy	3.08	Mus musculus	agonist	False				8IWE;8IWM	8IWE:R;8IWM:R	Electron microscopy	3.17;3.4	Mus musculus	agonist	False			
