receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes
aa2ar_human	1.6504486743383713	0.6524103713083076	-0.9980383030300637	1	Gs
acm3_human	0.12074783123268118	-0.4109705044209341	-0.5317183356536153	1	Gq/11
adrb2_human	0.7550926245944658	-0.20396911897868303	-0.9590617435731489	1	Gs
gp101_human	0.47158480577641987	0.35869525282297365	-0.11288955295344621	1	Gs
gpr34_human	0.1286679486480934	0.9961781663351458	0.8675102176870524	1	Gi/o
hcar2_human	0.3540214899109667	0.9360691067890724	0.5820476168781057	1	Gi/o
lpar1_human	0.07415839866565266	0.07415839866565266	0.0	2	Gi/o;Gq/11
mrgx2_human	-0.1222677345536558	-0.1222677345536558	0.0	2	Gi/o;Gq/11
oprd_human	0.47571169285908527	0.40626732167230784	-0.06944437118677743	1	Gi/o
opsd_bovin	1.0691768522873786	0.07880803821975324	-0.9903688140676252	1	Gi/o
taar1_mouse	0.7219924747119135	0.7219924747119135	0.0	2	Gq/11;Gs
taar9_mouse	-0.3218750958163266	-0.7218548700500962	-0.39997977423376957	1	Gs
