receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes
aa2ar_human	0.8630301278875663	0.3393466872001309	-0.5236834406874353	1	Gs
acm3_human	-0.2554526149364096	0.09729290778524619	0.35274552272165577	1	Gq/11
adrb2_human	0.864995706325243	0.5257179230662596	-0.3392777832589834	1	Gs
gp101_human	0.009783579868150594	-0.7158308158459334	-0.725614395714084	1	Gs
gpr34_human	-0.17638315235961521	0.8008023082895928	0.977185460649208	1	Gi/o
hcar2_human	0.2258476924578915	0.7347506823190164	0.5089029898611249	1	Gi/o
lpar1_human	-0.15341455645668017	-0.16408068421844113	-0.010666127761760985	2	Gi/o;Gq/11
mrgx2_human	0.09179785136930729	0.09179785136930729	0.0	2	Gi/o;Gq/11
oprd_human	-0.22602303092108122	0.652959027827122	0.8789820587482032	1	Gi/o
opsd_bovin	0.7588399036848505	0.281488995766459	-0.47735090791839146	1	Gi/o
taar1_mouse	-0.125975461748601	-0.12597546174860097	0.0	2	Gq/11;Gs
taar9_mouse	-0.13702825313137817	-0.185610723996877	-0.04858247086549883	1	Gs
